"date";"portal";"title";"position";"link"
2015-03-30;http://www.tvp.info/;Tylko u nas                     Palikot wypomina Ogórek templariuszy. „Jesli ktos doktoryzowal sie z ruchów heretyckich...”;3;http://www.tvp.info/19453269/palikot-wypomina-ogorek-templariuszy-jesli-ktos-doktoryzowal-sie-z-ruchow-heretyckich-to-nie-jest-osoba-wolnosciowa
2015-03-30;http://www.tvp.info/;Tylko u nas   „Program Magdaleny Ogórek to zbitka róznych postulatów. Od Sasa do Lasa”;2;http://www.tvp.info.pl/19451847/program-magdaleny-ogorek-to-zbitka-roznych-postulatow-od-sasa-do-lasa
2015-03-30;http://www.wp.pl;2000 zl dla kazdego? Znana ekonomistka sprowadza na ziemie kandydat�w na prezydenta;3;http://www.money.pl/gospodarka/wiadomosci/artykul/wybory-prezydenckie-2015-znana-ekonomistka,163,0,1745827.html
2015-03-30;http://www.wprost.pl/;Politycy dyskutują o euro.  Duda niczego nie podpisze, bo...;3;http://www.wprost.pl/ar/500517/Politycy-dyskutuja-o-euro-Duda-niczego-nie-podpisze-bo/
2015-03-30;http://www.wprost.pl/;Program Jarubasa.  Wzmocnienie bezpieczeństwa, przekształcenie senatu...;2;http://www.wprost.pl/ar/500566/Program-Jarubasa-Wzmocnienie-bezpieczenstwa-przeksztalcenie-senatu/
2015-03-30;http://www.wprost.pl/;Prezydent Egiptu: Powstaną wspólne arabskie siły wojskowe;2;http://www.wprost.pl/ar/500522/Prezydent-Egiptu-Powstana-wspolne-arabskie-sily-wojskowe/
2015-03-30;http://www.wprost.pl/;Duda straszy drożyzną po wprowadzeniu euro. Ekonomiści: Działanie propagandowe;1;http://www.wprost.pl/ar/499867/Duda-straszy-drozyzna-po-wprowadzeniu-euro-Ekonomisci-Dzialanie-propagandowe/
2015-03-30;http://www.wprost.pl/;"SLD oddaje wybory walkowerem";1;http://www.wprost.pl/ar/499809/SLD-oddaje-wybory-walkowerem/
2015-03-30;http://www.wprost.pl/;"Duda musi udowadniać wyborcom, że jest naprawdę kandydatem PiS";1;http://www.wprost.pl/ar/499663/Duda-musi-udowadniac-wyborcom-ze-jest-naprawde-kandydatem-PiS/
2015-03-30;http://www.onet.pl/;Badanie wizerunkowe: straty Andrzeja Dudy;2;http://wiadomosci.onet.pl/kraj/badanie-wizerunkowe-straty-andrzej-dudy-wyhamowaly-spadki-prezydenta/nllv7b
2015-03-30;http://www.newsweek.pl/;Tunis,Prezydent,Komorowski,wzial,udzial,w,marszu,przeciwko,terroryzmowi,Bronislaw,Komorowski,wraz,z,innymi,europejskimi,politykami,wzial,udzial,w,marszu,upamietniajacym,ofiary,zamachu,terrorystycznego;1;http://swiat.newsweek.pl/zamach-w-tunezji-bronislaw-komorowski-upamietnil-ofiary-zamachu,artykuly,360043,1.html
2015-03-30;http://www.newsweek.pl/;Tydzien,w,piekle,Przez,siedem,dni,bede,biec,z,10,kilogramowym,plecakiem,przez,pustynie,mówi,Natalia,Salamon;1;http://www.newsweek.pl/maraton-piaskow-morderczy-bieg,artykuly,359938,1,z.html
2015-03-30;http://www.tvn24.pl/;Komorowski pojedzie na Ukraine. M.in. do Bykowni;3;http://www.tvn24.pl/komorowski-po-wielkanocy-z-wizyta-na-ukrainie,528740,s.html
2015-03-30;http://www.tvn24.pl/;Sarkozy zyskuje, Hollande traci. Wybory lokalne we Francji;3;http://www.tvn24.pl/francja-koniec-drugiej-tury-wyborow-lokalnych,528759,s.html
2015-03-30;http://www.tvn24.pl/;Sarkozy zyskuje, Hollande traci. Wybory lokalne we Francji;2;http://www.tvn24.pl/wiadomosci-ze-swiata,2/sarkozy-zyskuje-hollande-traci-wybory-lokalne-we-francji,528759.html
2015-03-30;http://www.tvn24.pl/;Komorowski pojedzie na Ukraine. M.in. do Bykowni;2;http://www.tvn24.pl/komorowski-pojedzie-na-ukraine-m-in-do-bykowni,528740,s.html
2015-03-30;http://www.tvn24.pl/;Sarkozy zyskuje, Hollande traci. Wybory lokalne we Francji;2;http://www.tvn24.pl/sarkozy-zyskuje-hollande-traci-wybory-lokalne-we-francji,528759,s.html
2015-03-30;http://www.tvn24.pl/;Sarkozy zyskuje, Hollande traci. Wybory lokalne we Francji;1;http://www.tvn24.pl/francja-koniec-drugiej-tury-wyborow-lokalnych,528759,s.html
2015-03-30;http://natemat.pl/;PiS mówi, ze zdjecie zdjeciu nierówne i atakuje prezydenta;4;http://natemat.pl/138117,sa-zdjecia-politykow-pis-na-imprezach-skok-wolomin-pis-mowi-ze-zdjecie-zdjeciu-nierowne-i-atakuje-komorowskiego
2015-03-30;http://natemat.pl/;Duda, adwokat Biereckiego;3;http://natemat.pl/138095,duda-adwokat-biereckiego-kandydat-pis-stoi-za-dwiema-skargami-do-trybunalu-konstytucyjnego-ktore-pomogly-skok-om
2015-03-30;http://natemat.pl/;Andrzej Duda na konkursie rekordowych palm wielkanocnych;3;http://natemat.pl/138107,lipnica-popiera-andrzeja-dude-kandydat-pis-na-konkursie-rekordowych-palm-wielkanocnych
2015-03-30;http://natemat.pl/;Google naprawia blad. Kukiz wraca do Internetu, ale nadal zada wyjasnien;1;http://natemat.pl/138097,google-naprawia-blad-kukiz-wraca-do-internetu-ale-nadal-zada-wyjasnien
2015-03-30;http://natemat.pl/;Janusz Korwin-Mikke o glosy walczy grami. W jednej z nich zabija zombie;1;http://natemat.pl/138085,badz-jak-korwin-zmierz-sie-z-zombie-nowa-mobilna-aplikacja-z-jkm-w-roli-glownej
2015-03-30;http://natemat.pl/;Kandydat Ruchu Narodowego na bezrobociu? „Nie. Bede prezydentem”;1;http://natemat.pl/138091,kandydat-ruchu-narodowego-na-bezrobociu-nie-przeciez-bede-prezydentem
2015-03-30;http://natemat.pl/;Ogórek w obszernym wywiadzie: To od Polski zalezy, czy stosunki z Rosja beda lepsze;1;http://natemat.pl/138063,magdalena-ogorek-w-pierwszym-obszernym-wywiadzie-to-od-polski-zalezy-czy-stosunki-z-rosja-beda-lepsze
2015-03-30;http://natemat.pl/;Duda i Komorowski to falszywy wybór. Obaj byli w Unii Wolnosci, która popiera wejscie do euro;1;http://natemat.pl/138045,korwin-mikke-duda-i-komorowski-to-falszywy-wybor-obaj-byli-w-unii-wolnosci-ktora-popiera-wejscie-do-euro
2015-03-30;http://natemat.pl/;Prawicowe pospolite ruszenie. W wyborach najsilniejsza grupa konserwatystów;1;http://natemat.pl/137969,prawicowe-pospolite-ruszenie-w-wyborach-wystartuje-najsilniejsza-reprezentacja-konserwatystow-w-historii
2015-03-30;http://natemat.pl/;Palikot:  Nie chce umierac za kraj . Pierwsza konwencja i nowy plan dla Polski;1;http://natemat.pl/138031,palikota-plan-dla-polski
2015-03-30;http://www.gazeta.pl;Po 60 lat opozycja przejmie władzę w Nigerii? Trudne wybory: prezydent czekał... 40 minut, by móc głosować;3;http://wiadomosci.gazeta.pl/wiadomosci/56,114944,17678196,Ataki_Boko_Haram__problemy_techniczne__protesty__kolejki_,,1.html#Czolka3Img
2015-03-30;http://www.dziennik.pl;Komorowski maszerował w Tunezji przeciwko terroryzmowi. ZDJĘCIA;2;http://wiadomosci.dziennik.pl/swiat/galeria/486558,tunis-tunezja-prezydent-komorowski-na-marszu-przeciwko-terroryzmowi-zdjecia.html
2015-03-30;http://www.dziennik.pl;Duda spotykał się z Biereckim? Olejnik pyta o notatkę;2;http://wiadomosci.dziennik.pl/polityka/artykuly/486548,nalecz-o-dudzie-skarbnica-wiedzy-o-lobbingu-skok.html
2015-03-30;http://www.dziennik.pl;Euro dzieli w kampanii prezydenckiej. Spór polityków;1;http://wiadomosci.dziennik.pl/polityka/artykuly/486520,euro-dzieli-kampanii-prezydenckiej-spor-politykow.html
2015-03-30;http://www.dziennik.pl;Gazeta Wyborcza : Ktoś chce wrobić syna prezydenta Komorowskiego w SKOK;1;http://wiadomosci.dziennik.pl/polityka/artykuly/486515,gazeta-wyborcza-o-synu-prezydenta-komorowskiego-i-aferze-skok.html
2015-03-30;http://wyborcza.pl/0,0.html?piano_d=1;Próbują wrobić syna prezydenta Komorowskiego. Zaczął Jacek Kurski;3;http://wyborcza.pl/1,75478,17671992,Wrobic_syna_prezydenta.html
2015-03-30;http://wyborcza.pl/0,0.html?piano_d=1;Duda euro nie da;3;http://wyborcza.pl/1,75968,17671651,Duda_euro_nie_da.html
2015-03-30;http://www.tvp.info/;Tylko u nas                     Palikot wypomina Ogórek templariuszy. „Jesli ktos doktoryzowal sie z ruchów heretyckich...”;3;http://www.tvp.info/19453269/palikot-wypomina-ogorek-templariuszy-jesli-ktos-doktoryzowal-sie-z-ruchow-heretyckich-to-nie-jest-osoba-wolnosciowa
2015-03-30;http://www.tvp.info/;Tylko u nas   „Program Magdaleny Ogórek to zbitka róznych postulatów. Od Sasa do Lasa”;2;http://www.tvp.info.pl/19451847/program-magdaleny-ogorek-to-zbitka-roznych-postulatow-od-sasa-do-lasa
2015-03-30;http://www.wp.pl;2000 zl dla kazdego? Znana ekonomistka sprowadza na ziemie kandydat�w na prezydenta;3;http://www.money.pl/gospodarka/wiadomosci/artykul/wybory-prezydenckie-2015-znana-ekonomistka,163,0,1745827.html
2015-03-30;http://www.wprost.pl/;Politycy dyskutują o euro.  Duda niczego nie podpisze, bo...;3;http://www.wprost.pl/ar/500517/Politycy-dyskutuja-o-euro-Duda-niczego-nie-podpisze-bo/
2015-03-30;http://www.wprost.pl/;Program Jarubasa.  Wzmocnienie bezpieczeństwa, przekształcenie senatu...;2;http://www.wprost.pl/ar/500566/Program-Jarubasa-Wzmocnienie-bezpieczenstwa-przeksztalcenie-senatu/
2015-03-30;http://www.wprost.pl/;Prezydent Egiptu: Powstaną wspólne arabskie siły wojskowe;2;http://www.wprost.pl/ar/500522/Prezydent-Egiptu-Powstana-wspolne-arabskie-sily-wojskowe/
2015-03-30;http://www.wprost.pl/;Duda straszy drożyzną po wprowadzeniu euro. Ekonomiści: Działanie propagandowe;1;http://www.wprost.pl/ar/499867/Duda-straszy-drozyzna-po-wprowadzeniu-euro-Ekonomisci-Dzialanie-propagandowe/
2015-03-30;http://www.wprost.pl/;"SLD oddaje wybory walkowerem";1;http://www.wprost.pl/ar/499809/SLD-oddaje-wybory-walkowerem/
2015-03-30;http://www.wprost.pl/;"Duda musi udowadniać wyborcom, że jest naprawdę kandydatem PiS";1;http://www.wprost.pl/ar/499663/Duda-musi-udowadniac-wyborcom-ze-jest-naprawde-kandydatem-PiS/
2015-03-30;http://www.onet.pl/;Badanie wizerunkowe: straty Andrzeja Dudy;2;http://wiadomosci.onet.pl/kraj/badanie-wizerunkowe-straty-andrzej-dudy-wyhamowaly-spadki-prezydenta/nllv7b
2015-03-30;http://www.newsweek.pl/;Tunis,Prezydent,Komorowski,wzial,udzial,w,marszu,przeciwko,terroryzmowi,Bronislaw,Komorowski,wraz,z,innymi,europejskimi,politykami,wzial,udzial,w,marszu,upamietniajacym,ofiary,zamachu,terrorystycznego;1;http://swiat.newsweek.pl/zamach-w-tunezji-bronislaw-komorowski-upamietnil-ofiary-zamachu,artykuly,360043,1.html
2015-03-30;http://www.newsweek.pl/;Tydzien,w,piekle,Przez,siedem,dni,bede,biec,z,10,kilogramowym,plecakiem,przez,pustynie,mówi,Natalia,Salamon;1;http://www.newsweek.pl/maraton-piaskow-morderczy-bieg,artykuly,359938,1,z.html
2015-03-30;http://www.tvn24.pl/;Komorowski pojedzie na Ukraine. M.in. do Bykowni;3;http://www.tvn24.pl/komorowski-po-wielkanocy-z-wizyta-na-ukrainie,528740,s.html
2015-03-30;http://www.tvn24.pl/;Sarkozy zyskuje, Hollande traci. Wybory lokalne we Francji;3;http://www.tvn24.pl/francja-koniec-drugiej-tury-wyborow-lokalnych,528759,s.html
2015-03-30;http://www.tvn24.pl/;Sarkozy zyskuje, Hollande traci. Wybory lokalne we Francji;2;http://www.tvn24.pl/wiadomosci-ze-swiata,2/sarkozy-zyskuje-hollande-traci-wybory-lokalne-we-francji,528759.html
2015-03-30;http://www.tvn24.pl/;Komorowski pojedzie na Ukraine. M.in. do Bykowni;2;http://www.tvn24.pl/komorowski-pojedzie-na-ukraine-m-in-do-bykowni,528740,s.html
2015-03-30;http://www.tvn24.pl/;Sarkozy zyskuje, Hollande traci. Wybory lokalne we Francji;2;http://www.tvn24.pl/sarkozy-zyskuje-hollande-traci-wybory-lokalne-we-francji,528759,s.html
2015-03-30;http://www.tvn24.pl/;Sarkozy zyskuje, Hollande traci. Wybory lokalne we Francji;1;http://www.tvn24.pl/francja-koniec-drugiej-tury-wyborow-lokalnych,528759,s.html
2015-03-30;http://natemat.pl/;PiS mówi, ze zdjecie zdjeciu nierówne i atakuje prezydenta;4;http://natemat.pl/138117,sa-zdjecia-politykow-pis-na-imprezach-skok-wolomin-pis-mowi-ze-zdjecie-zdjeciu-nierowne-i-atakuje-komorowskiego
2015-03-30;http://natemat.pl/;Duda, adwokat Biereckiego;3;http://natemat.pl/138095,duda-adwokat-biereckiego-kandydat-pis-stoi-za-dwiema-skargami-do-trybunalu-konstytucyjnego-ktore-pomogly-skok-om
2015-03-30;http://natemat.pl/;Andrzej Duda na konkursie rekordowych palm wielkanocnych;3;http://natemat.pl/138107,lipnica-popiera-andrzeja-dude-kandydat-pis-na-konkursie-rekordowych-palm-wielkanocnych
2015-03-30;http://natemat.pl/;Google naprawia blad. Kukiz wraca do Internetu, ale nadal zada wyjasnien;1;http://natemat.pl/138097,google-naprawia-blad-kukiz-wraca-do-internetu-ale-nadal-zada-wyjasnien
2015-03-30;http://natemat.pl/;Janusz Korwin-Mikke o glosy walczy grami. W jednej z nich zabija zombie;1;http://natemat.pl/138085,badz-jak-korwin-zmierz-sie-z-zombie-nowa-mobilna-aplikacja-z-jkm-w-roli-glownej
2015-03-30;http://natemat.pl/;Kandydat Ruchu Narodowego na bezrobociu? „Nie. Bede prezydentem”;1;http://natemat.pl/138091,kandydat-ruchu-narodowego-na-bezrobociu-nie-przeciez-bede-prezydentem
