"date";"portal";"title";"position";"link"
2015-04-05;http://www.tvp.info/;Prezydent Slowacji do Lawrowa: to wy ponosicie odpowiedzialnosc za wschodnia Ukraine;3;http://www.tvp.info/19534966/prezydent-slowacji-do-lawrowa-to-wy-ponosicie-odpowiedzialnosc-za-wschodnia-ukraine
2015-04-05;http://www.wprost.pl/;Ogórek jako prezydent wetowałaby ustawy, jeśli Sejm...;3;http://www.wprost.pl/ar/501334/Ogorek-jako-prezydent-wetowalaby-ustawy-jesli-Sejm-nie-rozpatrzylby-jej-projektu/
2015-04-05;http://www.wprost.pl/;Prezydent Słowacji oficjalnie potępił rosyjskie działania. Jest wyjątkiem w swoim kraju;2;http://www.wprost.pl/ar/501359/Prezydent-Slowacji-oficjalnie-potepil-rosyjskie-dzialania-Jest-wyjatkiem-w-swoim-kraju/
2015-04-05;http://www.wprost.pl/;Prezydent Wielkiego Formatu  - Janusz Korwin-Mikke zbiera pieniądze w internecie;2;http://www.wprost.pl/ar/501337/Prezydent-Wielkiego-Formatu-Janusz-Korwin-Mikke-zbiera-pieniadze-w-internecie/
2015-04-05;http://www.wprost.pl/;Ogórek jako prezydent wetowałaby ustawy, jeśli Sejm nie rozpatrzyłby jej projektu;2;http://www.wprost.pl/ar/501334/Ogorek-jako-prezydent-wetowalaby-ustawy-jesli-Sejm-nie-rozpatrzylby-jej-projektu/
2015-04-05;http://www.wprost.pl/;Kłopotek: Związki Komorowskiego z WSI musiały istnieć;1;http://www.wprost.pl/ar/501115/Klopotek-Zwiazki-Komorowskiego-z-WSI-musialy-istniec/
2015-04-05;http://www.wprost.pl/;Kłopotek, Kurski i Tyszkiewicz o matce Dudy. "Czepianie się matki, że pomaga dziecku, jest niskie";1;http://www.wprost.pl/ar/500952/Klopotek-Kurski-i-Tyszkiewicz-o-matce-Dudy-Czepianie-sie-matki-ze-pomaga-dziecku-jest-niskie/
2015-04-05;http://www.newsweek.pl/;II tura pewna? Jak czytac prezydenckie sondaze z marca?;2;http://polska.newsweek.pl/wybory-prezydenckie-2015-jakie-jest-poparcie-kandydatow-,artykuly,360406,1.html
2015-04-05;http://www.tvn24.pl/;RuszyÅ<U+0082> nowy proces obalonego prezydenta Egiptu;3;http://www.tvn24.pl/egipt-rozpoczal-sie-nowy-proces-mubaraka-i-jego-synow,530555,s.html
2015-04-05;http://www.tvn24.pl/;DowcipkujÄ<U+0085>cy Duda, KamiÅ<U+0084>ski bez zegarka, wysokie loty GROM-owca?;3;http://www.tvn24.pl/najciekawsze-wideo-tygodnia-w-tvn24-pl,530339,s.html
2015-04-05;http://www.tvn24.pl/;Odtwórz: DowcipkujÄ<U+0085>cy Duda, KamiÅ<U+0084>ski bez zegarka, wysokie loty GROM-owca?;3;http://www.tvn24.pl/najciekawsze-wideo-tygodnia-w-tvn24-pl,530339,s.html#autoplay
2015-04-05;http://www.tvn24.pl/;RuszyÅ<U+0082> nowy proces obalonego prezydenta Egiptu;2;http://www.tvn24.pl/ruszyl-nowy-proces-obalonego-prezydenta-egiptu,530555,s.html
2015-04-05;http://www.tvn24.pl/;DowcipkujÄ<U+0085>cy Duda, KamiÅ<U+0084>ski bez zegarka, wysokie loty GROM-owca?;2;http://www.tvn24.pl/dowcipkujacy-duda-kaminski-bez-zegarka-wysokie-loty-grom-owca,530339,s.html
