"text";"favorited";"favoriteCount";"replyToSN";"created";"truncated";"replyToSID";"id";"replyToUID";"statusSource";"screenName";"retweetCount";"isRetweet";"retweeted";"longitude";"latitude";"lastname"
":-) http://t.co/bB6Ir9mppi";FALSE;7;NA;2015-03-27 17:35:41;FALSE;NA;581509912070631424;NA;<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>;Komorowski;0;FALSE;FALSE;NA;NA;"Komorowski"
"Bardzo ciesze sie,  ze mozemy sie spotkac i zamienic kilka slów. Zycze tez dobrych,  radosnych i zgodnych swiat :-) #Strzelce_Krajenskie";FALSE;8;NA;2015-03-27 17:11:14;FALSE;NA;581503756908539904;NA;<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>;Komorowski;2;FALSE;FALSE;NA;NA;"Komorowski"
"Karta Duzej Rodziny to konkretne dzialania. Ciesze sie,  ze funkcjonuje ona w tak wielu miastach,  takze tutaj.";FALSE;5;NA;2015-03-27 17:08:07;FALSE;NA;581502975094464512;NA;<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>;Komorowski;2;FALSE;FALSE;NA;NA;"Komorowski"
"Przed wyjazdem, jeszcze w Warszawie, podpisalem nowy projekt ustawy,  ustawe rodzinna. Ustawa bedzie pomagala rodzinom,  szczególnie mlodym.";FALSE;5;NA;2015-03-27 17:06:32;FALSE;NA;581502575868059648;NA;<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>;Komorowski;1;FALSE;FALSE;NA;NA;"Komorowski"
"Strzelce Krajenskie teraz :-) http://t.co/1QiqaHW0aQ";FALSE;4;NA;2015-03-27 17:04:31;FALSE;NA;581502066494935040;NA;<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>;Komorowski;1;FALSE;FALSE;NA;NA;"Komorowski"
"Ustawa rodzinna to ulatwienie,  które jest bezkosztowe. Jej wprowadzenie nie generuje kosztów dla budzetu panstwa.";FALSE;3;NA;2015-03-27 08:56:09;FALSE;NA;581379164651012096;NA;<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>;Komorowski;2;FALSE;FALSE;NA;NA;"Komorowski"
"W ciagu nadchodzacych dni bronkobus odwiedzi woj. lubuskie i wielkopolskie. W niedziele, juz w formacie prezydenckim, bede w Tunisie.";FALSE;5;NA;2015-03-27 08:14:57;FALSE;NA;581368798210560000;NA;<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>;Komorowski;11;FALSE;FALSE;NA;NA;"Komorowski"
"Bede kontynuowal realizacje programu dla mlodych rodzin. Wsparcie na start to m.in. wsparcie w zakresie mieszkan dla mlodych.";FALSE;5;NA;2015-03-27 08:12:21;FALSE;NA;581368144243097601;NA;<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>;Komorowski;3;FALSE;FALSE;NA;NA;"Komorowski"
"Podpisze dzisiaj ustawe rodzicielska. Uelastycznia ona system urlopów rodzicielskich. To kolejny fragment polityki prorodzinnej.";FALSE;5;NA;2015-03-27 08:10:05;FALSE;NA;581367575138975745;NA;<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>;Komorowski;3;FALSE;FALSE;NA;NA;"Komorowski"
"W moim przekonaniu nie wolno toczyc wojny z cieniami, chodzi o wejscie do strefy euro. Takich planów nie ma. Porozmawiamy o tym w odp czasie";FALSE;3;NA;2015-03-27 08:08:15;FALSE;NA;581367113748725760;NA;<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>;Komorowski;3;FALSE;FALSE;NA;NA;"Komorowski"
"@hytrekprosiecka W tym rzecz, ze przy Polskiej granicy ceny na SK sa niskie. Wymusza to konkurencja sklepów w PL, gdzie kupuja Slowacy.";FALSE;20;hytrekprosiecka;2015-03-27 21:47:56;FALSE;581562406343716864;581573390663852032;105427657;<a href="http://twitter.com/#!/download/ipad" rel="nofollow">Twitter for iPad</a>;AndrzejDuda;8;FALSE;FALSE;NA;NA;"Duda"
"@RGwiazdowski Zycze milego i spokojnego weekendu:-)";FALSE;6;RGwiazdowski;2015-03-27 15:58:11;FALSE;581480736282304512;581485373081161730;899954538;<a href="http://twitter.com/#!/download/ipad" rel="nofollow">Twitter for iPad</a>;AndrzejDuda;2;FALSE;FALSE;NA;NA;"Duda"
"@ilonadarmach ;-)";FALSE;5;ilonadarmach;2015-03-27 15:23:01;FALSE;581475138773864450;581476525998018561;341030258;<a href="http://twitter.com/#!/download/ipad" rel="nofollow">Twitter for iPad</a>;AndrzejDuda;0;FALSE;FALSE;NA;NA;"Duda"
"@MarcinBartus Dzieki i pozdrawiam!:-)";FALSE;2;MarcinBartus;2015-03-27 15:19:49;FALSE;581475518056411136;581475719949250560;2860809157;<a href="http://twitter.com/#!/download/ipad" rel="nofollow">Twitter for iPad</a>;AndrzejDuda;0;FALSE;FALSE;NA;NA;"Duda"
"Poslowie PO, w tym B. Komorowski byli przeciw utworzeniu KNF w 2006 roku - w czyim dzialali interesie? http://t.co/VVfw8Be9Lf";FALSE;72;NA;2015-03-27 15:16:01;FALSE;NA;581474763824054272;NA;<a href="http://twitter.com/#!/download/ipad" rel="nofollow">Twitter for iPad</a>;AndrzejDuda;81;FALSE;FALSE;NA;NA;"Duda"
"@apeef @AndrzejDuda2015 Oj tam, a margaryna i sok byly wieksze w krajowym koszyku (550g i 2l.). Wiec nie przesadzajmy.";FALSE;1;apeef;2015-03-27 13:52:41;FALSE;581452593383239680;581453790416662528;390657046;<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>;AndrzejDuda;1;FALSE;FALSE;NA;NA;"Duda"
"@TomasKubacki Chyba widac;-)";FALSE;6;TomasKubacki;2015-03-27 13:43:49;FALSE;581451421456961536;581451560766582784;938563214;<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>;AndrzejDuda;1;FALSE;FALSE;NA;NA;"Duda"
"W Milówce Pani Golec zaszczycila mnie wspólnym zdjeciem:-) http://t.co/wBto1s7qwr";FALSE;77;NA;2015-03-27 13:42:25;FALSE;NA;581451207924969472;NA;<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>;AndrzejDuda;39;FALSE;FALSE;NA;NA;"Duda"
"Po zakupach w Milówce zdjecie z urocza i przemila Zaloga:-) http://t.co/KzYXlsRq0h";FALSE;39;NA;2015-03-27 13:20:09;FALSE;NA;581445605924425728;NA;<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>;AndrzejDuda;17;FALSE;FALSE;NA;NA;"Duda"
"Dostalem wlasnie legendarny kubek  czystej . Pieknie dziekuje! :-) @300polityka http://t.co/WQCGSG8ArU";FALSE;39;NA;2015-03-27 13:09:47;FALSE;NA;581442994743689216;NA;<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>;AndrzejDuda;16;FALSE;FALSE;NA;NA;"Duda"
"@PrawdziwyPolak1 @AndrzejDuda2015 @jmiziolek Przeliczamy 13.29€ x 4,08 PLN = 54.22 PLN, a te same zakupy po polskiej stronie 37.02 PLN";FALSE;4;PrawdziwyPolak1;2015-03-27 12:43:14;FALSE;581435243955126272;581436314848989185;382743115;<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>;AndrzejDuda;4;FALSE;FALSE;NA;NA;"Duda"
"@RGwiazdowski @KonradPiasecki A mysle, ze zmiana jest mozliwa, podobnie jak naprawa Polski. I ze wlasnie nadchodzi. Pozdrawiam z Milówki:-)";FALSE;33;RGwiazdowski;2015-03-27 12:32:14;FALSE;581378714656743425;581433547648589824;899954538;<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>;AndrzejDuda;20;FALSE;FALSE;NA;NA;"Duda"
"@d_przybylski @pzpn_pl @LaczyNasPilka Nie;-)))";FALSE;0;d_przybylski;2015-03-27 08:43:11;FALSE;581364279338754049;581375904527548416;1704028134;<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>;AndrzejDuda;0;FALSE;FALSE;NA;NA;"Duda"
