"date";"portal";"title";"position";"link"
2015-03-16;http://www.tvp.info/;„Trudno dodzwonic sie do Radia Maryja”. Jaroslaw z Warszawy o telefonie do Dudy;3;http://www.tvp.info/19275914/czesto-probowalem-sie-dodzwonic-do-radia-maryja-to-trudne-kaczynski-o-telefonicznych-pochwalach-dla-dudy
2015-03-16;http://www.tvp.info/;PKW zakonczyla przyjmowanie zgloszen. Zarejestrowala 20 komitetów kandydatów na prezydenta;2;http://www.tvp.info.pl/19276899/pkw-zakonczyla-przyjmowanie-zgloszen-zarejestrowala-20-komitetow-kandydatow-na-prezydenta
2015-03-16;http://www.tvp.info/;Latajaca kampania. Air Korwin One rusza w niebo;2;http://www.tvp.info.plhttp://wiadomosci.tvp.pl/19278332/odlot
2015-03-16;http://www.wp.pl;2 godz.Schetyna odpowiada na zarzut prezydenta Rosji;2;http://wiadomosci.wp.pl/kat,1356,title,Grzegorz-Schetyna-o-zarzutach-Wladimira-Putina-absurdalna-informacja,wid,17352966,wiadomosc.html
2015-03-16;http://www.wp.pl;Sondaż dla  Faktów  TVN: Bronisław Komorowski wygrywa w II turze;1;/kat,140394,title,Sondaz-dla-Faktow-TVN-Bronislaw-Komorowski-wygrywa-w-II-turze,wid,17353266,wiadomosc.html
2015-03-16;http://www.wp.pl;Janusz Korwin-Mikke: Polska marnuje to, czego się dorobiła;1;/kat,140394,title,Janusz-Korwin-Mikke-Polska-marnuje-to-czego-sie-dorobila,wid,17353007,wiadomosc.html
2015-03-16;http://www.wp.pl;Echa wiecu wyborczego Bronisława Komorowskiego w Aleksandrowie Kujawskim. Poseł: odwołać kuratora;1;/kat,140394,title,Echa-wiecu-wyborczego-Bronislawa-Komorowskiego-w-Aleksandrowie-Kujawskim-Posel-odwolac-kuratora,wid,17352873,wiadomosc.html
2015-03-16;http://www.wp.pl;Najnowsze badanie CBOS. Komorowski ma 52 proc. poparcia Duda 19 proc.;1;/kat,140394,title,Najnowsze-badanie-CBOS-Komorowski-ma-52-proc-poparcia-Duda-19-proc,wid,17350775,wiadomosc.html
2015-03-16;http://www.wprost.pl/;Sondaż: 46 proc. dla Komorowskiego, 31 proc. dla Dudy;3;http://www.wprost.pl/ar/498568/Sondaz-prezydencki-46-proc-dla-Komorowskiego-31-proc-dla-Dudy/
2015-03-16;http://www.wprost.pl/;Sondaż: Prezydent powinien podpisać ustawę o in vitro;2;http://www.wprost.pl/ar/498571/Sondaz-Prezydent-powinien-podpisac-ustawe-o-in-vitro/
2015-03-16;http://www.wprost.pl/;Sondaż prezydencki: 46 proc. dla Komorowskiego, 31 proc. dla Dudy;2;http://www.wprost.pl/ar/498568/Sondaz-prezydencki-46-proc-dla-Komorowskiego-31-proc-dla-Dudy/
2015-03-16;http://www.wprost.pl/;Prezydent niepokorny , czyli Stanisław Wojciechowski;2;http://www.wprost.pl/ar/498565/Prezydent-niepokorny-czyli-Stanislaw-Wojciechowski/
2015-03-16;http://www.wprost.pl/;Kaczyński: Na antypolskie wypowiedzi Putina prezydent powinien odpowiedzieć twardo;2;http://www.wprost.pl/ar/498558/Kaczynski-Na-antypolskie-wypowiedzi-Putina-prezydent-powinien-odpowiedziec-twardo/
2015-03-16;http://www.wprost.pl/;Gdzie poszła kasa Palikota?;1;http://www.wprost.pl/ar/498397/Gdzie-poszla-kasa-Palikota/
2015-03-16;http://www.wprost.pl/;Wpadki Komorowskiego na Twitterze. "Powinien skupić się na Naszej Klasie";1;http://www.wprost.pl/ar/495661/Wpadki-Komorowskiego-na-Twitterze-Powinien-skupic-sie-na-Naszej-Klasie/
2015-03-16;http://www.onet.pl/;Posel PiS zada dymisji po wiecu Komorowskiego;2;http://wiadomosci.onet.pl/kujawsko-pomorskie/posel-zbonikowski-domaga-sie-odwolania-kuratora-po-wiecu-komorowskiego/08j36h
2015-03-16;http://www.onet.pl/;Nowa partia Korwin-Mikkego. Zaglosujecie na nia?;1;http://wiadomosci.onet.pl/tablica/nowa-partia-korwin-mikkego-zaglosujecie-na-nia,1668,1020088,153124061,watek.html
2015-03-16;http://www.newsweek.pl/;Korwin-Mikke: To Amerykanie zdestabilizowali Ukraine;3;http://swiat.newsweek.pl/janusz-korwin-mikke-teorie-spiskowe-ameryka-chce-oslabic-rosje,artykuly,359188,1.html
2015-03-16;http://www.newsweek.pl/;20 kandydatów zawalczy o fotel prezydenta RP;2;http://polska.newsweek.pl/wybory-2015-wybory-prezydenckie-kandydaci-na-prezydenta,artykuly,359165,1.html
2015-03-16;http://www.newsweek.pl/;4 informacje o Dudzie, których nie ma w gazetce PiS;2;http://polska.newsweek.pl/informacje-o-andrzeju-dudzie-ktorych-nie-podaje-pis,artykuly,359024,1.html
2015-03-16;http://www.tvn24.pl/;Duda coraz silniejszy, topnieje przewaga Komorowskiego. Sondaz dla  Faktów  TVN;4;http://www.tvn24.pl/sondaz-prezydencki-dla-faktow-tvn,524725,s.html
2015-03-16;http://www.tvn24.pl/;Sondazowy spadek Ogórek. Miller: to sygnal do zmian w kampanii;3;http://www.tvn24.pl/leszek-miller-komentuje-wyniki-magdaleny-ogorek,524746,s.html
2015-03-16;http://www.tvn24.pl/;Odtwórz: Sondazowy spadek Ogórek. Miller: to sygnal do zmian w kampanii;3;http://www.tvn24.pl/leszek-miller-komentuje-wyniki-magdaleny-ogorek,524746,s.html#autoplay
2015-03-16;http://www.tvn24.pl/;Sondaz dla  Faktów  TVN: Prezydent powinien podpisac ustawe o in vitro;3;http://www.tvn24.pl/sondaz-prezydent-powinien-podpisac-ustawe-o-in-vitro,524721,s.html
2015-03-16;http://www.tvn24.pl/;Ogórek w fabryce zakretek, Kaczynski tlumaczy Dude;3;http://www.tvn24.pl/kampania-wyborcza-2015,524709,s.html
2015-03-16;http://www.tvn24.pl/;Air Korwin One  wyladowal.  W nastepnych wyborach rakieta bedziemy latali;3;http://www.tvn24.pl/wideo/z-anteny/odlotowa-kampania-janusza-korwin-mikkego,1401996.html?playlist_id=18201
2015-03-16;http://www.tvn24.pl/;Odtwórz:  Air Korwin One  wyladowal.  W nastepnych wyborach rakieta bedziemy latali;3;http://www.tvn24.pl/wideo/z-anteny/odlotowa-kampania-janusza-korwin-mikkego,1401996.html?playlist_id=18201
2015-03-16;http://www.tvn24.pl/;Kaczynski o przeszlosci Dudy w Unii Wolnosci: to incydent;3;http://www.tvn24.pl/duda-w-unii-wolnosci-kaczynski-on-tego-nie-ukrywal,524620,s.html
