"text";"favorited";"favoriteCount";"replyToSN";"created";"truncated";"replyToSID";"id";"replyToUID";"statusSource";"screenName";"retweetCount";"isRetweet";"retweeted";"longitude";"latitude";"lastname"
"Trudno jest wywolac powazna dyskusje wyborcza. Dla wielu latwiej jest biegac z koszykiem po sklepach czy rozdawac obietnice bez pokrycia.";FALSE;12;NA;2015-03-30 18:04:04;FALSE;NA;582604219988983808;NA;<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>;Komorowski;11;FALSE;FALSE;NA;NA;"Komorowski"
"W czasie kampanii zglosilem juz 3 projekty ustaw: o innowacyjnosci; o polityce prorodzinnej; o kierowaniu systemem obronnosci";FALSE;5;NA;2015-03-30 18:03:06;FALSE;NA;582603973573644288;NA;<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>;Komorowski;5;FALSE;FALSE;NA;NA;"Komorowski"
"Nie ma mowy o tym, zeby Polska weszla do strefy euro bez akceptacji spolecznej. Jak strefa euro bedzie uzdrowiona, to sie zastanowimy.";FALSE;5;NA;2015-03-30 18:00:40;FALSE;NA;582603361276571648;NA;<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>;Komorowski;7;FALSE;FALSE;NA;NA;"Komorowski"
"O 19:57 zapraszam do @tvp_info http://t.co/TbNai0QaZE";FALSE;7;NA;2015-03-30 17:21:46;FALSE;NA;582593571888447488;NA;<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>;Komorowski;7;FALSE;FALSE;NA;NA;"Komorowski"
"@8skysun Glowa do góry Klaudio. Damy rade! Absurd nie moze wieczne trwac:-)";FALSE;1;8skysun;2015-03-30 21:55:57;FALSE;582642267808239616;582662572761079808;572096532;<a href="http://twitter.com/#!/download/ipad" rel="nofollow">Twitter for iPad</a>;AndrzejDuda;0;FALSE;FALSE;NA;NA;"Duda"
"@Samueljrp @ZalewskiPawel @katarynaaa Z pewnoscia dlatego PBK pchal przez Sejm swoja ustawe o zgromadzeniach niezgodna z Konstytucja.";FALSE;15;Samueljrp;2015-03-30 11:35:24;FALSE;582505773466574848;582506408870039552;50294505;<a href="http://twitter.com/#!/download/ipad" rel="nofollow">Twitter for iPad</a>;AndrzejDuda;8;FALSE;FALSE;NA;NA;"Duda"
"Zostalem oficjalnie zarejestrowany jako kandydat na urzad Prezydenta RP #Palikot2015 http://t.co/Wqs4pnN83I";FALSE;31;NA;2015-03-30 15:37:44;FALSE;NA;582567393102286848;NA;<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>;Palikot_Janusz;6;FALSE;FALSE;NA;NA;"Palikot"
"Sprawy SKOK i ulaskawien to tylko przyklady kim jest Pan Duda. /Sztab";FALSE;7;NA;2015-03-30 15:15:13;FALSE;NA;582561724194271232;NA;<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>;Palikot_Janusz;2;FALSE;FALSE;NA;NA;"Palikot"
"2/2 powiedziec, ze niezaleznie od tego czy czuje sie winny, czy nie, zgromadzilo sie tyle negatywnych zjawisk, ze on nie moze byc wiarygodny";FALSE;8;NA;2015-03-30 15:12:07;FALSE;NA;582560944473161728;NA;<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>;Palikot_Janusz;2;FALSE;FALSE;NA;NA;"Palikot"
"1/2Jezeli Duda kocha Polske i szanuje polskie instytucje, jezeli z szacunkiem odnosi sie do urzedu prezydenta to powinien miec odwage";FALSE;7;NA;2015-03-30 15:10:57;FALSE;NA;582560651815567360;NA;<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>;Palikot_Janusz;2;FALSE;FALSE;NA;NA;"Palikot"
"Andrzej Duda powinien wycofac sie z kampanii, dzisiejszy wyrok potwierdza z jakiego patologicznego srodowiska politycznego pochodzi /sztab";FALSE;14;NA;2015-03-30 15:04:05;FALSE;NA;582558922499891200;NA;<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>;Palikot_Janusz;8;FALSE;FALSE;NA;NA;"Palikot"
"LIVE on #Periscope: Palikot live  https://t.co/kWrSXbdO7j";FALSE;2;NA;2015-03-30 14:15:01;FALSE;NA;582546575072837632;NA;<a href="http://www.apple.com" rel="nofollow">iOS</a>;Palikot_Janusz;3;FALSE;FALSE;NA;NA;"Palikot"
"Zaczynamy za 3 min, live z Bialegostoku na Persicope #palikot2015";FALSE;4;NA;2015-03-30 14:14:24;FALSE;NA;582546421754232832;NA;<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>;Palikot_Janusz;2;FALSE;FALSE;NA;NA;"Palikot"
