"date";"portal";"title";"position";"link"
2015-03-28;http://www.wp.pl;Zarzuty wobec Dudy. PO: niech zawiesi kampanie;3;http://www.money.pl/gospodarka/wiadomosci/artykul/wedlug-po-duda-mogl-nielegalnie-wplywac-na,139,0,1747339.html
2015-03-28;http://www.wp.pl;wazneNie wpuscili prezydenta.  Nie ma miejsc;2;http://wiadomosci.wp.pl/kat,1019393,title,Atelier-Amaro-nie-wpuscilo-prezydenta-Komorowskiego-Nie-bylo-wolnych-miejsc,wid,17384496,wiadomosc.html
2015-03-28;http://www.wp.pl;Adam Hofman: Bronisław Komorowski chce zakazać pytań na swój temat;1;/kat,140394,title,Adam-Hofman-Bronislaw-Komorowski-chce-zakazac-pytan-na-swoj-temat,wid,17401474,wiadomosc.html
2015-03-28;http://www.wprost.pl/;Hofman zapytał. Komorowski go pozwał;2;http://www.wprost.pl/ar/500386/Hofman-zapytal-Komorowski-go-pozwal/
2015-03-28;http://www.wprost.pl/;Duda straszy drożyzną po wprowadzeniu euro. Ekonomiści: Działanie propagandowe;1;http://www.wprost.pl/ar/499867/Duda-straszy-drozyzna-po-wprowadzeniu-euro-Ekonomisci-Dzialanie-propagandowe/
2015-03-28;http://www.wprost.pl/;"SLD oddaje wybory walkowerem";1;http://www.wprost.pl/ar/499809/SLD-oddaje-wybory-walkowerem/
2015-03-28;http://www.wprost.pl/;"Duda musi udowadniać wyborcom, że jest naprawdę kandydatem PiS";1;http://www.wprost.pl/ar/499663/Duda-musi-udowadniac-wyborcom-ze-jest-naprawde-kandydatem-PiS/
2015-03-28;http://www.onet.pl/;Syn Bronislawa Komorowskiego mial zwiazki ze SKOK-iem Wolomin? "Gazeta Wyborcza" wyjasnia;2;http://wiadomosci.onet.pl/kraj/gazeta-wyborcza-tadeusz-komorowski-nie-mial-zwiazkow-ze-skok-iem-wolomin/0mtl9t
2015-03-28;http://natemat.pl/;GW  prostuje insynuacje Kurskiego: Syn Komorowskiego nie mial zwiazków z wlascicielami SKOK Wolomin;3;http://natemat.pl/138001,gw-wyjasnia-insynuacje-kurskiego-syn-komorowskiego-nie-mial-zwiazkow-z-wlascicielami-skok-wolomin
2015-03-28;http://natemat.pl/;Duda straszy przyjeciem euro. Litwini zrobili to 3 miesiace temu i nie zaluja;1;http://natemat.pl/137865,duda-straszy-przyjeciem-euro-a-litwini-to-zrobili-i-nie-zaluja-5-powodow-do-radosci-wilna-ze-wspolnej-waluty
2015-03-28;http://natemat.pl/;Stefan Niesiolowski: Nie rozumiem, jaki interes maja powazne media, by dolaczac do nagonki na Komorowskiego;1;http://natemat.pl/137913,stefan-niesiolowski-nie-rozumiem-jaki-interes-maja-powazne-media-by-dolaczac-do-nagonki-na-komorowskiego
2015-03-28;http://natemat.pl/;Nowicka i Grodzka nie powalcza o prezydenture. Minal termin skladania podpisów do PKW;1;http://natemat.pl/137907,nowicka-i-grodzka-nie-powalcza-o-prezydenture-minal-termin-skladania-podpisow-do-pkw
2015-03-28;http://natemat.pl/;Kandydaci na Prezydenta RP o marihuanie;1;http://maciejkowalski.natemat.pl/137935,kandydacji-na-prezydenta-rp-o-marihuanie
2015-03-28;http://natemat.pl/;Spotkania z Biereckim, ekspertyza od anonima. Tak Andrzej Duda bronil SKOK-ów;1;http://natemat.pl/137899,duda-bierecki-i-prezydent-kaczynski-czyli-spotkania-na-szczycie-przed-skarga-ws-skok-do-tk
2015-03-28;http://natemat.pl/;Zaskoczenie w PKW;1;http://aszdziennik.pl/114627,zaskoczenie-w-pkw-w-ostatniej-chwili-dostalismy-13-milionow-podpisow-dla-jakiegos-cthulhu
2015-03-28;http://www.gazeta.pl;Doniesienia są absolutnie szokujące, Duda powinien zawiesić kampanię i członkostwo w PiS;2;http://wiadomosci.gazeta.pl/wiadomosci/1,114871,17667942,PO__Duda_mogl_brac_udzial_w_nielegalnym_wplywaniu.html#BoxNewsImg
2015-03-28;http://www.dziennik.pl;GW : Chcą wrobić syna prezydenta Komorowskiego w SKOK;3;http://wiadomosci.dziennik.pl/polityka/artykuly/486515,gazeta-wyborcza-o-synu-prezydenta-komorowskiego-i-aferze-skok.html
2015-03-28;http://www.dziennik.pl;PiS apeluje do prezydenta w sprawie euro;1;http://wiadomosci.dziennik.pl/polityka/artykuly/486331,pis-apeluje-do-bronislawa-komorowskiego-w-sprawie-euro.html
2015-03-28;http://wyborcza.pl/0,0.html?piano_d=1;PO: Niech Duda wytłumaczy się ze SKOK-ów;3;http://wyborcza.pl/1,75478,17672207,PO__Niech_Duda_wytlumaczy_sie_ze_SKOK_ow.html
2015-03-28;http://wyborcza.pl/0,0.html?piano_d=1;Duda euro nie da;3;http://wyborcza.pl/1,75968,17671651,Duda_euro_nie_da.html
2015-03-28;http://www.tvp.info/;13:49   Wzmocnienie bezpieczenstwa, Polska ziemia dla Polaków i nie dla euro. Jarubas przedstawil program;2;http://www.tvp.info.pl/19441290/wzmocnienie-bezpieczenstwa-polska-ziemia-dla-polakow-i-nie-dla-euro-jarubas-przedstawil-program
2015-03-28;http://www.wp.pl;wazneNie wpuscili prezydenta.  Nie ma miejsc;2;http://wiadomosci.wp.pl/kat,1019393,title,Atelier-Amaro-nie-wpuscilo-prezydenta-Komorowskiego-Nie-bylo-wolnych-miejsc,wid,17384496,wiadomosc.html
2015-03-28;http://www.wp.pl;Adam Hofman: Bronisław Komorowski chce zakazać pytań na swój temat;1;/kat,140394,title,Adam-Hofman-Bronislaw-Komorowski-chce-zakazac-pytan-na-swoj-temat,wid,17401474,wiadomosc.html
2015-03-28;http://www.wprost.pl/;Nowy projekt ustawy rodzinnej. Co prezydent zaproponował rodzinom?;2;http://www.wprost.pl/ar/500465/Nowy-projekt-ustawy-rodzinnej-Co-prezydent-zaproponowal-rodzinom/
2015-03-28;http://www.wprost.pl/;Duda straszy drożyzną po wprowadzeniu euro. Ekonomiści: Działanie propagandowe;1;http://www.wprost.pl/ar/499867/Duda-straszy-drozyzna-po-wprowadzeniu-euro-Ekonomisci-Dzialanie-propagandowe/
2015-03-28;http://www.wprost.pl/;"SLD oddaje wybory walkowerem";1;http://www.wprost.pl/ar/499809/SLD-oddaje-wybory-walkowerem/
2015-03-28;http://www.wprost.pl/;"Duda musi udowadniać wyborcom, że jest naprawdę kandydatem PiS";1;http://www.wprost.pl/ar/499663/Duda-musi-udowadniac-wyborcom-ze-jest-naprawde-kandydatem-PiS/
2015-03-28;http://www.onet.pl/;Adam Jarubas na konwencji PSL: mam tego dosyc;2;http://wiadomosci.onet.pl/kraj/adam-jarubas-atakuje-po-psl-powinno-dostac-wiecej-ministerstw/5hk1z2
2015-03-28;http://natemat.pl/;Miks wszystkich programów: Jarubas obiecuje powstrzymanie euro i rade ustawodawcza;3;http://natemat.pl/138013,miks-wszystkich-programow-jarubas-na-konwencji-obiecuje-powstrzymanie-euro-rade-ustawodawcza-i-ochrone-ziemi
2015-03-28;http://natemat.pl/;GW  o insynuacjach Kurskiego: Syn prezydenta bez zwiazków ze SKOK Wolomin;2;http://natemat.pl/138001,gw-wyjasnia-insynuacje-kurskiego-syn-komorowskiego-nie-mial-zwiazkow-z-wlascicielami-skok-wolomin
2015-03-28;http://natemat.pl/;Duda straszy przyjeciem euro. Litwini zrobili to 3 miesiace temu i nie zaluja;1;http://natemat.pl/137865,duda-straszy-przyjeciem-euro-a-litwini-to-zrobili-i-nie-zaluja-5-powodow-do-radosci-wilna-ze-wspolnej-waluty
2015-03-28;http://natemat.pl/;Stefan Niesiolowski: Nie rozumiem, jaki interes maja powazne media, by dolaczac do nagonki na Komorowskiego;1;http://natemat.pl/137913,stefan-niesiolowski-nie-rozumiem-jaki-interes-maja-powazne-media-by-dolaczac-do-nagonki-na-komorowskiego
2015-03-28;http://natemat.pl/;Nowicka i Grodzka nie powalcza o prezydenture. Minal termin skladania podpisów do PKW;1;http://natemat.pl/137907,nowicka-i-grodzka-nie-powalcza-o-prezydenture-minal-termin-skladania-podpisow-do-pkw
2015-03-28;http://natemat.pl/;Spotkania z Biereckim, ekspertyza od anonima. Tak Andrzej Duda bronil SKOK-ów;1;http://natemat.pl/137899,duda-bierecki-i-prezydent-kaczynski-czyli-spotkania-na-szczycie-przed-skarga-ws-skok-do-tk
2015-03-28;http://www.gazeta.pl;Kowalski zwolniony z siłowni za start w wyborach? Klub odpowiada: Pan Marian chce zaistnieć w mediach;2;http://wiadomosci.gazeta.pl/wiadomosci/1,143907,17657208,Marian_Kowalski_chcial_wziac_urlop_na_kampanie_wyborcza_.html#BoxNewsImg
2015-03-28;http://www.gazeta.pl;Szokujące doniesienia. Niech Duda zawiesi kampanię;1;http://wiadomosci.gazeta.pl/wiadomosci/1,114871,17667942,PO__Duda_mogl_brac_udzial_w_nielegalnym_wplywaniu.html#BoxNewsLink
2015-03-28;http://www.dziennik.pl;GW : Chcą wrobić syna prezydenta Komorowskiego w SKOK;2;http://wiadomosci.dziennik.pl/polityka/artykuly/486515,gazeta-wyborcza-o-synu-prezydenta-komorowskiego-i-aferze-skok.html
2015-03-28;http://www.dziennik.pl;Korwin-Mikke o Komorowskim i Dudzie: Dobry i zły policjant;2;http://wiadomosci.dziennik.pl/wybory-prezydenckie/artykuly/486522,korwin-mikke-o-dudzie-i-komorowskim-dobry-i-zly-policjant.html
2015-03-28;http://www.dziennik.pl;Gazeta Wyborcza : Ktoś chce wrobić syna prezydenta Komorowskiego w SKOK;1;http://wiadomosci.dziennik.pl/polityka/artykuly/486515,gazeta-wyborcza-o-synu-prezydenta-komorowskiego-i-aferze-skok.html
2015-03-28;http://wyborcza.pl/0,0.html?piano_d=1;PO: Niech Duda wytłumaczy się ze SKOK-ów;3;http://wyborcza.pl/1,75478,17672207,PO__Niech_Duda_wytlumaczy_sie_ze_SKOK_ow.html
2015-03-28;http://wyborcza.pl/0,0.html?piano_d=1;Duda euro nie da;3;http://wyborcza.pl/1,75968,17671651,Duda_euro_nie_da.html
2015-03-27;http://wpolityce.pl/szukaj?q=wybory%20prezydenckie&page=1;„Uwaga! Euro = drozyzna!” Kolejna odslona kampanii Andrzeja Dudy. Kandydat PiS ostrzega przed obietnicami Komorowskiego;2;http://www.wpolityce.pl/polityka/238916-uwaga-euro-drozyzna-kolejna-odslona-kampanii-andrzeja-dudy-kandydat-pis-ostrzega-przed-obietnicami-komorowskiego
2015-03-27;http://wpolityce.pl/szukaj?q=wybory%20prezydenckie&page=1;Kompletnie niewiarygodne zapowiedzi Komorowskiego;2;http://www.wpolityce.pl/polityka/238898-kompletnie-niewiarygodne-zapowiedzi-komorowskiego
