"text";"favorited";"favoriteCount";"replyToSN";"created";"truncated";"replyToSID";"id";"replyToUID";"statusSource";"screenName";"retweetCount";"isRetweet";"retweeted";"longitude";"latitude";"lastname"
"@MATYLDA__ Dziekuje!:-)";FALSE;7;MATYLDA__;2015-03-20 21:37:14;FALSE;579032317085224963;579033985503887360;1037818428;<a href="http://twitter.com/#!/download/ipad" rel="nofollow">Twitter for iPad</a>;AndrzejDuda;1;FALSE;FALSE;NA;NA;"Duda"
"Bardzo dziekuje za to mobilizujace wsparcie. Razem DAMY RADE! :-) https://t.co/FKd1AXg7CL";FALSE;82;NA;2015-03-20 11:54:38;FALSE;NA;578887368133967872;NA;<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>;AndrzejDuda;57;FALSE;FALSE;NA;NA;"Duda"
"@mmigalski Dziekuje i pozdrawiam :-)";FALSE;2;mmigalski;2015-03-20 11:34:27;FALSE;578875549902331904;578882287183507456;490659823;<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>;AndrzejDuda;2;FALSE;FALSE;NA;NA;"Duda"
"@mmigalski Nie bylo takiego zdania. To manipulacja moja wypowiedzia.";FALSE;17;mmigalski;2015-03-20 10:31:18;FALSE;578861871090003968;578866397662568448;490659823;<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>;AndrzejDuda;5;FALSE;FALSE;NA;NA;"Duda"
"PEK i PDT wydali wyrok na polski wegiel. Zgodzili sie na  dekarbonizacje  jako jeden z filarów unii energetycznej. http://t.co/mZ7ByJDEN8";FALSE;66;NA;2015-03-20 07:51:45;FALSE;NA;578826243602251776;NA;<a href="http://twitter.com/#!/download/ipad" rel="nofollow">Twitter for iPad</a>;AndrzejDuda;113;FALSE;FALSE;NA;NA;"Duda"
"@AleksandraDyjak Dzieki;-) Dam rade!";FALSE;28;AleksandraDyjak;2015-03-20 00:43:52;FALSE;578681884173033472;578718562635935744;861670910;<a href="http://twitter.com/#!/download/ipad" rel="nofollow">Twitter for iPad</a>;AndrzejDuda;12;FALSE;FALSE;NA;NA;"Duda"
"@VaGla Pisze tu osobiscie i na wlasna odpowiedzialnosc. Uklony z Krakowa:-)";FALSE;13;VaGla;2015-03-20 00:25:03;FALSE;578708709330780160;578713829682618370;40936161;<a href="http://twitter.com/#!/download/ipad" rel="nofollow">Twitter for iPad</a>;AndrzejDuda;3;FALSE;FALSE;NA;NA;"Duda"
"@VaGla Wysluchalem. Przyznam, ze nie pomyslalem o tym wczesniej. Co najmniej warte zastanowienia. Bardzo dziekuje i pozdrawiam.";FALSE;2;VaGla;2015-03-20 00:03:32;FALSE;578706187895603200;578708412176953344;40936161;<a href="http://twitter.com/#!/download/ipad" rel="nofollow">Twitter for iPad</a>;AndrzejDuda;0;FALSE;FALSE;NA;NA;"Duda"
"@VaGla Pewnie  urzedowo  bede mial;-) ale z pewnoscia tez pozostane przy swoim, razem z moimi Followersami. Pozdrawiam:-)";FALSE;6;VaGla;2015-03-19 23:53:51;FALSE;578684854855950336;578705979010904064;40936161;<a href="http://twitter.com/#!/download/ipad" rel="nofollow">Twitter for iPad</a>;AndrzejDuda;2;FALSE;FALSE;NA;NA;"Duda"
"Zaniedbana rola Prezydenta. Moja ocena pod linkiem: http://t.co/a4S8UiWxDF";FALSE;8;NA;2015-03-20 11:41:21;FALSE;NA;578884025684733952;NA;<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>;ogorekmagda;6;FALSE;FALSE;NA;NA;"Og?rek"
"Najpierw bylo ponizanie, nastepnie osmieszanie,  a teraz plotki o mojej rezygnacji. Ktos strasznie sie mnie boi.";FALSE;37;NA;2015-03-20 11:39:45;FALSE;NA;578883622079434752;NA;<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>;ogorekmagda;36;FALSE;FALSE;NA;NA;"Og?rek"
"Jutro o godzinie 12:00 odbedzie sie premiera mojego spotu #palikot2015 http://t.co/h0ZCoExE7t";FALSE;17;NA;2015-03-20 18:32:13;FALSE;NA;578987423847329792;NA;<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>;Palikot_Janusz;1;FALSE;FALSE;NA;NA;"Palikot"
"Przed chwila skonczylem dobre spotkanie w Zakladzie Karnym w Siedlcach. Osadzeni zwrócili m.in uwage na brak resocjalizacji #palikot2015";FALSE;10;NA;2015-03-20 14:39:50;FALSE;NA;578928944344391680;NA;<a href="http://twitter.com/#!/download/ipad" rel="nofollow">Twitter for iPad</a>;Palikot_Janusz;0;FALSE;FALSE;NA;NA;"Palikot"
"Poletko Pana P - Telewizja klamie – odcinek 8 http://t.co/igVwSPmH73";FALSE;1;NA;2015-03-20 07:36:34;FALSE;NA;578822424764002304;NA;<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>;Palikot_Janusz;1;FALSE;FALSE;NA;NA;"Palikot"
"Mój pomysl bezposredniego kontaktu z ludzmi to istota demokracji #palikot2015 @Trojka_PRSA /sztab";FALSE;5;NA;2015-03-20 07:25:11;FALSE;NA;578819557055414272;NA;<a href="http://itunes.apple.com/us/app/twitter/id409789998?mt=12" rel="nofollow">Twitter for Mac</a>;Palikot_Janusz;0;FALSE;FALSE;NA;NA;"Palikot"
"Dzis Komorowski, Duda, Schetyna i Siemoniak nakrecaja spirale strachu swoich zachowaniem #palikot2015 @Trojka_PRSA /sztab";FALSE;2;NA;2015-03-20 07:24:30;FALSE;NA;578819387643297792;NA;<a href="http://itunes.apple.com/us/app/twitter/id409789998?mt=12" rel="nofollow">Twitter for Mac</a>;Palikot_Janusz;0;FALSE;FALSE;NA;NA;"Palikot"
"Zachowanie Sikorskiego, Komorowskiego czy Dudy to uprawianie polityki na grobach! #palikot2015 @Trojka_PRSA /sztab";FALSE;4;NA;2015-03-20 07:17:32;FALSE;NA;578817635934171137;NA;<a href="http://itunes.apple.com/us/app/twitter/id409789998?mt=12" rel="nofollow">Twitter for Mac</a>;Palikot_Janusz;0;FALSE;FALSE;NA;NA;"Palikot"
