"text";"favorited";"favoriteCount";"replyToSN";"created";"truncated";"replyToSID";"id";"replyToUID";"statusSource";"screenName";"retweetCount";"isRetweet";"retweeted";"longitude";"latitude";"lastname"
"@EMacioszczyk odwzajemniamy serdecznie. Wesolych Swiat!";FALSE;1;EMacioszczyk;2015-04-05 10:33:40;FALSE;584421048734593025;584665198432227329;619532995;<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>;JarubasAdam;1;FALSE;FALSE;NA;NA;"Jarubas"
"Zostalam wygnana z wlasnego ciala  Wywiad z #EveEnsler autorki #MonologiWaginy   http://t.co/ZDjCe9H6Es";FALSE;2;NA;2015-04-05 17:18:24;FALSE;NA;584767054663790592;NA;<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>;WandaNowicka;1;FALSE;FALSE;NA;NA;"Nowicka"
"What you can read in the streets of NYC http://t.co/KezOMpbea7";FALSE;2;NA;2015-04-05 16:18:17;FALSE;NA;584751922843930624;NA;<a href="http://www.apple.com" rel="nofollow">iOS</a>;WandaNowicka;1;FALSE;FALSE;NA;NA;"Nowicka"
"@trans_fuzja lub pewna";FALSE;0;trans_fuzja;2015-04-05 14:15:57;FALSE;584687106569740288;584721136539275264;92972044;<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>;WandaNowicka;0;FALSE;FALSE;NA;NA;"Nowicka"
"@EMacioszczyk odwzajemniamy serdecznie. Wesolych Swiat!";FALSE;1;EMacioszczyk;2015-04-05 10:33:40;FALSE;584421048734593025;584665198432227329;619532995;<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>;JarubasAdam;1;FALSE;FALSE;NA;NA;"Jarubas"
"Zostalam wygnana z wlasnego ciala  Wywiad z #EveEnsler autorki #MonologiWaginy   http://t.co/ZDjCe9H6Es";FALSE;2;NA;2015-04-05 17:18:24;FALSE;NA;584767054663790592;NA;<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>;WandaNowicka;1;FALSE;FALSE;NA;NA;"Nowicka"
"What you can read in the streets of NYC http://t.co/KezOMpbea7";FALSE;2;NA;2015-04-05 16:18:17;FALSE;NA;584751922843930624;NA;<a href="http://www.apple.com" rel="nofollow">iOS</a>;WandaNowicka;1;FALSE;FALSE;NA;NA;"Nowicka"
"@trans_fuzja lub pewna";FALSE;0;trans_fuzja;2015-04-05 14:15:57;FALSE;584687106569740288;584721136539275264;92972044;<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>;WandaNowicka;0;FALSE;FALSE;NA;NA;"Nowicka"
