"text";"favorited";"favoriteCount";"replyToSN";"created";"truncated";"replyToSID";"id";"replyToUID";"statusSource";"screenName";"retweetCount";"isRetweet";"retweeted";"longitude";"latitude";"lastname"
"@PZaparty Dzieki ;-)))";FALSE;1;PZaparty;2015-03-21 21:30:25;FALSE;579390014737514498;579394657920131072;3102853150;<a href="http://twitter.com/#!/download/ipad" rel="nofollow">Twitter for iPad</a>;AndrzejDuda;1;FALSE;FALSE;NA;NA;"Duda"
"@JMaciek @Samueljrp @majowski1959 Dobre;-)))";FALSE;0;JMaciek;2015-03-21 18:56:08;FALSE;579354300478017536;579355831067607040;79565960;<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>;AndrzejDuda;0;FALSE;FALSE;NA;NA;"Duda"
"@Samueljrp Grudzien 2008 roku, barak na linii demarkacyjnej pomiedzy Korea Pld. a Korea Pln. Za oknem zolnierz Korei Pln.";FALSE;34;Samueljrp;2015-03-21 18:55:04;FALSE;579036706881576960;579355562850328577;50294505;<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>;AndrzejDuda;8;FALSE;FALSE;NA;NA;"Duda"
"@xYOLO_BITCHESx Wzajemnie! :-)";FALSE;4;xYOLO_BITCHESx;2015-03-21 09:46:43;FALSE;579216766628454400;579217564158599168;3019768390;<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>;AndrzejDuda;2;FALSE;FALSE;NA;NA;"Duda"
"Prezentujemy nowy spot Janusza Palikota. #sztab #palikot2015 https://t.co/OVklFSgrg4";FALSE;17;NA;2015-03-21 11:14:10;FALSE;NA;579239572531339265;NA;<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>;Palikot_Janusz;9;FALSE;FALSE;NA;NA;"Palikot"
"NaTemat - Wszystko jest mozliwe! http://t.co/LdZsYsUZ1Z";FALSE;4;NA;2015-03-21 06:43:03;FALSE;NA;579171345323393025;NA;<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>;Palikot_Janusz;3;FALSE;FALSE;NA;NA;"Palikot"
"@lukasz_hajek pelna zgoda.";FALSE;0;lukasz_hajek;2015-03-21 18:57:05;FALSE;579303669511892992;579356068993699840;3077668144;<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>;JarubasAdam;0;FALSE;FALSE;NA;NA;"Jarubas"
"Bieg po miotle swietokrzyska  zorganizowany przez Kolo Kreatywnych Kobiet z Kielc. Brawo! http://t.co/FSMjHwneOt";FALSE;1;NA;2015-03-21 16:43:26;FALSE;NA;579322434706358272;NA;<a href="http://www.apple.com" rel="nofollow">iOS</a>;JarubasAdam;1;FALSE;FALSE;NA;NA;"Jarubas"
"Bardzo sympatyczne powitanie w gminie Rejowiec w Lubelskiem. Bardzo dziekuje! http://t.co/QwjPfDpWZT";FALSE;3;NA;2015-03-21 15:27:27;FALSE;NA;579303311318392833;NA;<a href="http://www.apple.com" rel="nofollow">iOS</a>;JarubasAdam;1;FALSE;FALSE;NA;NA;"Jarubas"
"Dzis ruszamy z kampania radiowa. Na jarubas.pl w zakladce Video/Audio spot  Bezpieczenstwo .";FALSE;2;NA;2015-03-21 13:58:32;FALSE;NA;579280937147609088;NA;<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>;JarubasAdam;2;FALSE;FALSE;NA;NA;"Jarubas"
"Debata ze studentami PWSZ w Chelmie, a nastepnie spotkanie z rolnikami w Rejowcu Osadzie. http://t.co/PL9mFBWzEX";FALSE;1;NA;2015-03-21 12:20:38;FALSE;NA;579256300003061761;NA;<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>;JarubasAdam;1;FALSE;FALSE;NA;NA;"Jarubas"
"Dzis na Lubelszczyznie na Uniwersytecie Przyrodniczym w Lublinie. http://t.co/UP4OqFoXV1";FALSE;2;NA;2015-03-21 12:14:28;FALSE;NA;579254746126618624;NA;<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>;JarubasAdam;1;FALSE;FALSE;NA;NA;"Jarubas"
"@Czarek4478 Bede ;) Czekajcie...";FALSE;1;Czarek4478;2015-03-21 22:43:18;FALSE;NA;579412999481487361;904050336;<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>;PrezydentKukiz;1;FALSE;FALSE;NA;NA;"Kukiz"
"Kraków zbiera podpisy do konca... #CiasteczkowaOfensywa: http://t.co/TLWFkIeJkY via @YouTube";FALSE;2;NA;2015-03-21 22:27:34;FALSE;NA;579409037847986178;NA;<a href="http://www.google.com/" rel="nofollow">Google</a>;PrezydentKukiz;0;FALSE;FALSE;NA;NA;"Kukiz"
