date;portal;title;position;link
2015-03-21;http://www.tvp.info/;Tylko u nas   Jarubas rozczarowany  slowami Klopotka: od kolegi partyjnego oczekuje innej pomocy;2;http://www.tvp.info.pl/19333351/jarubas-rozczarowany-slowami-klopotka-od-kolegi-partyjnego-oczekuje-innej-pomocy
2015-03-21;http://www.tvp.info/;Przedwyborczy piatek: dekarbonizacja, Nangar Khel i echa polskiej kampanii w Kazachstanie;2;http://www.tvp.info.pl/19332935/przedwyborczy-piatek-dekarbonizacja-nangar-khel-i-echa-polskiej-kampanii-w-kazachstanie
2015-03-21;http://www.wp.pl;Kopacz wytyka Dudzie bledy: Trzeba znac znaczenie sl<f3>w;3;http://www.money.pl/gospodarka/wiadomosci/artykul/kopacz-wytyka-dudzie-nieznajomosc-slowa,205,0,1741773.html
2015-03-21;http://www.wp.pl;waznePiS wygrywa wybory do sejmu. Sondaz;2;http://wiadomosci.wp.pl/kat,1342,title,Sondaz-TNS-Polska-PiS-32-proc-PO-30-proc-poparcia,wid,17368815,wiadomosc.html
2015-03-21;http://www.wp.pl;wazneCzerwony Korsarz prosi prezydenta o ulaskawienie;2;http://wiadomosci.wp.pl/kat,1019379,title,Czerwony-Korsarz-z-Gdanska-napisal-list-do-prezydenta-z-prosba-o-ulaskawienie,wid,17367881,wiadomosc.html
2015-03-21;http://www.wprost.pl/;Kukiz: Wysylajac bron Ukrainie mozemy najwyzej strzelic sobie w†kolano;2;http://www.wprost.pl/ar/499330/Kukiz-Wysylajac-bron-Ukrainie-mozemy-najwyzej-strzelic-sobie-w-kolano/
2015-03-21;http://www.wprost.pl/;Klopotek krytykuje wyniki Jarubasa.  Oczekiwalem innej pomocy;2;http://www.wprost.pl/ar/499328/Klopotek-krytykuje-wyniki-Jarubasa-Oczekiwalem-innej-pomocy/
2015-03-21;http://www.wprost.pl/;Komorowski: Tu gineli zolnierze radzieccy. Nalecz: Kto to†kwestionuje, jest propagandysta;1;http://www.wprost.pl/ar/498752/Komorowski-Tu-gineli-zolnierze-radzieccy-Nalecz-Kto-to-kwestionuje-jest-propagandysta/
2015-03-21;http://www.wprost.pl/;Gdzie poszla kasa Palikota?;1;http://www.wprost.pl/ar/498397/Gdzie-poszla-kasa-Palikota/
2015-03-21;http://www.onet.pl/;Staniszkis nie kryje rozczarowania M. OgÛrek;2;http://wiadomosci.onet.pl/kraj/jadwiga-staniszkis-magdalena-ogorek-jest-zbyt-banalna/qhk42d
2015-03-21;http://www.onet.pl/;Globalna kampania przeciwko ISIS;2;http://wiadomosci.onet.pl/tylko-w-onecie/globalna-kampania-przeciwko-panstwu-islamskiemu-zachod-nie-moze-pozwolic-sobie-na/fwxt72
2015-03-21;http://www.onet.pl/;Krytyka planu Dudy: zawalilby finanse panstwa;1;http://biznes.onet.pl/emerytury/wiadomosci/balcerowicz-obnizenie-wieku-emerytalnego-zawaliloby-finanse-panstwa/f6jv49
2015-03-21;http://www.newsweek.pl/;CBOS: Komorowski w II turze z z Duda;2;http://polska.newsweek.pl/kto-wygra-wybory-prezydenckie-sondaz-cbos,artykuly,359428,1.html
2015-03-21;http://www.newsweek.pl/;Komorowski w I turze. Kukiz czarnym koniem wyborÛw;2;http://polska.newsweek.pl/kto-wygra-wybory-prezydenckie-kukiz-czarnym-koniem-wyborow,artykuly,359357,1.html
2015-03-21;http://www.tvn24.pl/;OgÛrek nie jest w stanie porwac mlodych. Nie ma tego czegos;3;http://www.tvn24.pl/ogorek-nie-jest-w-stanie-porwac-mlodych-nie-ma-tego-czegos,526216,s.html
2015-03-21;http://www.tvn24.pl/;OdtwÛrz:  OgÛrek nie jest w stanie porwac mlodych. Nie ma tego czegos;3;http://www.tvn24.pl/ogorek-nie-jest-w-stanie-porwac-mlodych-nie-ma-tego-czegos,526216,s.html
2015-03-21;http://www.tvn24.pl/;Komorowski i jego  szogun  rozlozyli konkurencje na lopatki. Wybraliscie wideo tygodnia;3;/ciekawostki-michalki,5/komorowski-i-jego-szogun-rozlozyli-konkurencje-na-lopatki-wybraliscie-wideo-tygodnia,519514.html
2015-03-21;http://www.tvn24.pl/;OgÛrek nie jest w stanie porwac mlodych. Nie ma tego czegos;2;http://www.tvn24.pl/ogorek-nie-jest-w-stanie-porwac-mlodych-nie-ma-tego-czegos,526216,s.html
