"text";"favorited";"favoriteCount";"replyToSN";"created";"truncated";"replyToSID";"id";"replyToUID";"statusSource";"screenName";"retweetCount";"isRetweet";"retweeted";"longitude";"latitude";"lastname"
"Serdecznie dziekuje za Wasza prace, entuzjazm, za umiejetnosc pracy dla innych #wosp2015";FALSE;16;NA;2015-03-25 13:51:36;FALSE;NA;580728743666327552;NA;<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>;Komorowski;6;FALSE;FALSE;NA;NA;"Komorowski"
".@fundacjawosp jest czescia polskiej wolnosci.";FALSE;12;NA;2015-03-25 13:50:20;FALSE;NA;580728422982393856;NA;<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>;Komorowski;7;FALSE;FALSE;NA;NA;"Komorowski"
"Zasluzyliscie na ogromna wdziecznosc Polski dobrych, radosnych uczuc i emocji #wosp2015";FALSE;9;NA;2015-03-25 13:49:43;FALSE;NA;580728269663838208;NA;<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>;Komorowski;6;FALSE;FALSE;NA;NA;"Komorowski"
"Ludzie oczekuja racjonalnych decyzji. Absolutna wiekszosc Polaków stawia na kompromis. #invitro";FALSE;5;NA;2015-03-25 07:14:39;FALSE;NA;580628846690607106;NA;<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>;Komorowski;2;FALSE;FALSE;NA;NA;"Komorowski"
"Radykalizm przejawia sie w polityce tym, ze slyszy sie tylko wlasne racje i podkresla wszystkie róznice. Przyklad to ustawa PiS o in vitro";FALSE;6;NA;2015-03-25 07:13:47;FALSE;NA;580628628481937408;NA;<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>;Komorowski;3;FALSE;FALSE;NA;NA;"Komorowski"
"Szukam kompromisu politycznego tam, gdzie moze on sluzyc Polsce. Trzeba szukac zgody wewnetrznej w stopniu maksymalnie mozliwym.";FALSE;9;NA;2015-03-25 07:12:35;FALSE;NA;580628326391422976;NA;<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>;Komorowski;8;FALSE;FALSE;NA;NA;"Komorowski"
"W kwestii SKOKów musi sie tlumaczyc PiS i senator Bierecki. Zarzuty wobec mnie w tej sprawie to kompletna nieprawda.";FALSE;8;NA;2015-03-25 07:08:34;FALSE;NA;580627318705643520;NA;<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>;Komorowski;4;FALSE;FALSE;NA;NA;"Komorowski"
"Zeby wejsc do strefy Euro trzeba najpierw spelnic odpowiednie warunki. Malo tego, zdecyduje o tym Sejm, trzeba do tego zmiany konstytucji";FALSE;7;NA;2015-03-25 07:05:08;FALSE;NA;580626454175682561;NA;<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>;Komorowski;3;FALSE;FALSE;NA;NA;"Komorowski"
"Relacja ze spotkania z mieszkancami Szczecina. http://t.co/ynnc35DNR7 http://t.co/W0W1iCYoNk";FALSE;19;NA;2015-03-25 18:36:23;FALSE;NA;580800410056859648;NA;<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>;ogorekmagda;7;FALSE;FALSE;NA;NA;"Og?rek"
"Wojska ma dbac o pokój, a nie prowokowac wojne #palikot2015";FALSE;14;NA;2015-03-25 19:38:24;FALSE;NA;580816016869036032;NA;<a href="http://itunes.apple.com/us/app/twitter/id409789998?mt=12" rel="nofollow">Twitter for Mac</a>;Palikot_Janusz;4;FALSE;FALSE;NA;NA;"Palikot"
"Kolaboracja to dac sie zabic! #palikot2015";FALSE;4;NA;2015-03-25 19:37:56;FALSE;NA;580815900963704832;NA;<a href="http://itunes.apple.com/us/app/twitter/id409789998?mt=12" rel="nofollow">Twitter for Mac</a>;Palikot_Janusz;0;FALSE;FALSE;NA;NA;"Palikot"
"JP w @KropkaNadI : Kocham Polske, dzisiaj trzeba miec odwage mówic - nie dam sie zabic! #palikot2015 /sztab";FALSE;8;NA;2015-03-25 19:21:56;FALSE;NA;580811876570923008;NA;<a href="http://itunes.apple.com/us/app/twitter/id409789998?mt=12" rel="nofollow">Twitter for Mac</a>;Palikot_Janusz;0;FALSE;FALSE;NA;NA;"Palikot"
"JP w @KropkaNadI : minister Siemoniak to pies wojny - tak samo jak Schetyna i jak prezydent Komorowski #palikot2015 /sztab";FALSE;6;NA;2015-03-25 19:18:43;FALSE;NA;580811066625679360;NA;<a href="http://itunes.apple.com/us/app/twitter/id409789998?mt=12" rel="nofollow">Twitter for Mac</a>;Palikot_Janusz;4;FALSE;FALSE;NA;NA;"Palikot"
"JP w @KropkaNadI : Wydajmy 135 mld zl nie na dozbrojenia armii, ale na inwestycje, by znalezc sie w strefie euro #palikot2015 /sztab";FALSE;7;NA;2015-03-25 19:10:49;FALSE;NA;580809077988671489;NA;<a href="http://itunes.apple.com/us/app/twitter/id409789998?mt=12" rel="nofollow">Twitter for Mac</a>;Palikot_Janusz;0;FALSE;FALSE;NA;NA;"Palikot"
"JP w @KropkaNadI : Nie chce kolejnych trupów. Nie dam wyslac mlodych ludzi na pewna smierc #palikot2015 /sztab";FALSE;8;NA;2015-03-25 19:08:39;FALSE;NA;580808532804673536;NA;<a href="http://itunes.apple.com/us/app/twitter/id409789998?mt=12" rel="nofollow">Twitter for Mac</a>;Palikot_Janusz;2;FALSE;FALSE;NA;NA;"Palikot"
"JP w @KropkaNadI : Dzisiejsze dzialania to produkcja miesa armatniego #palikot2015 /sztab";FALSE;3;NA;2015-03-25 19:07:10;FALSE;NA;580808157091491842;NA;<a href="http://itunes.apple.com/us/app/twitter/id409789998?mt=12" rel="nofollow">Twitter for Mac</a>;Palikot_Janusz;0;FALSE;FALSE;NA;NA;"Palikot"
"JP w @KropkaNadI : Walczyc za ojczyzne to nie dac sie zabic #palikot2015 /sztab";FALSE;7;NA;2015-03-25 19:05:53;FALSE;NA;580807834474037248;NA;<a href="http://itunes.apple.com/us/app/twitter/id409789998?mt=12" rel="nofollow">Twitter for Mac</a>;Palikot_Janusz;3;FALSE;FALSE;NA;NA;"Palikot"
"J. Palikot w @tvp_info: Nie jestesmy w polityce dla sondazy, jestesmy dla wprowadzania w Polsce zmian /Sztab #Palikot2015";FALSE;15;NA;2015-03-25 17:43:31;FALSE;NA;580787107188367360;NA;<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>;Palikot_Janusz;2;FALSE;FALSE;NA;NA;"Palikot"
"J. Palikot w @tvp_info: ja mocno doskwieram obecnej klasie politycznej i mam zamiar nadal im doskwierac /Sztab #Palikot2015";FALSE;10;NA;2015-03-25 17:42:27;FALSE;NA;580786836622163968;NA;<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>;Palikot_Janusz;2;FALSE;FALSE;NA;NA;"Palikot"
"J. Palikot w @tvp_info: banki musza zaplacic za kryzys zwiazany z kursem franka /Sztab #Palikot2015";FALSE;5;NA;2015-03-25 17:41:13;FALSE;NA;580786528697319425;NA;<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>;Palikot_Janusz;2;FALSE;FALSE;NA;NA;"Palikot"
