"text";"favorited";"favoriteCount";"replyToSN";"created";"truncated";"replyToSID";"id";"replyToUID";"statusSource";"screenName";"retweetCount";"isRetweet";"retweeted";"longitude";"latitude";"lastname"
"@KarolK1970 @Samueljrp @karnkowski :-)";FALSE;0;KarolK1970;2015-03-29 19:51:58;FALSE;582268626738245633;582268982750765056;2791370909;<a href="http://twitter.com/#!/download/ipad" rel="nofollow">Twitter for iPad</a>;AndrzejDuda;0;FALSE;FALSE;NA;NA;"Duda"
"@KarolK1970 @Samueljrp @karnkowski Juz! I tez pozdrawiam;-)";FALSE;1;KarolK1970;2015-03-29 19:49:42;FALSE;582267946975789058;582268414447751168;2791370909;<a href="http://twitter.com/#!/download/ipad" rel="nofollow">Twitter for iPad</a>;AndrzejDuda;0;FALSE;FALSE;NA;NA;"Duda"
"@Samueljrp @karnkowski Juz! I pozdrawiam Panów z Krakowa:-)";FALSE;10;Samueljrp;2015-03-29 19:46:44;FALSE;582264587921317888;582267666104258560;50294505;<a href="http://twitter.com/#!/download/ipad" rel="nofollow">Twitter for iPad</a>;AndrzejDuda;4;FALSE;FALSE;NA;NA;"Duda"
"@ZalewskiPawel LK kierujac ustawe do TK wykonal swój konstytucyjny obowiazek. Bo byl sprzeczna z Konstytucja, co potwierdzil wyrok TK.";FALSE;8;ZalewskiPawel;2015-03-29 19:36:11;FALSE;582209245715795969;582265012892340224;523090325;<a href="http://twitter.com/#!/download/ipad" rel="nofollow">Twitter for iPad</a>;AndrzejDuda;6;FALSE;FALSE;NA;NA;"Duda"
"@ZalewskiPawel Prezydent czuwa nad przestrzeganiem Konstytucji (art. 126). LK skierowal ustawe do TK, TK stwierdzil naruszenia Konstytucji.";FALSE;20;ZalewskiPawel;2015-03-29 19:34:11;FALSE;582209245715795969;582264506958655489;523090325;<a href="http://twitter.com/#!/download/ipad" rel="nofollow">Twitter for iPad</a>;AndrzejDuda;19;FALSE;FALSE;NA;NA;"Duda"
"@ZalewskiPawel Pana pierwszy wpis zawiera pomówienie w czystej postaci jesli wezmie sie pod uwage Konstytucje i fakty.";FALSE;26;ZalewskiPawel;2015-03-29 15:56:47;FALSE;582209245715795969;582209796255952896;523090325;<a href="http://twitter.com/#!/download/ipad" rel="nofollow">Twitter for iPad</a>;AndrzejDuda;20;FALSE;FALSE;NA;NA;"Duda"
"@ZalewskiPawel @MZiomecki Istotne jest powazne pomówienie, którym Pan sie posluzyl.";FALSE;23;ZalewskiPawel;2015-03-29 15:50:18;FALSE;582206176609349632;582208168056479745;523090325;<a href="http://twitter.com/#!/download/ipad" rel="nofollow">Twitter for iPad</a>;AndrzejDuda;13;FALSE;FALSE;NA;NA;"Duda"
"@ChMatej09 @reniael Sadeckiego aniolka:-)";FALSE;2;ChMatej09;2015-03-29 13:43:40;FALSE;582174216327467008;582176297704656896;2968170706;<a href="http://twitter.com/#!/download/ipad" rel="nofollow">Twitter for iPad</a>;AndrzejDuda;0;FALSE;FALSE;NA;NA;"Duda"
"@reniael Dziekuje serdecznie! :-)";FALSE;2;reniael;2015-03-29 13:32:59;FALSE;582155982534475776;582173610896408576;2376972886;<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>;AndrzejDuda;1;FALSE;FALSE;NA;NA;"Duda"
"@piotrn74 @ZalewskiPawel he, he. Reszta jest w TK jako wniosek poselski i czeka na wyrok. PBK zaryzykowal wobec tresci art. 126.";FALSE;2;piotrn74;2015-03-29 13:29:47;FALSE;582171909149876224;582172804449198080;1457918719;<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>;AndrzejDuda;1;FALSE;FALSE;NA;NA;"Duda"
"@erbalicki @ZalewskiPawel Jest w TK od ponad 2 lat.";FALSE;1;erbalicki;2015-03-29 13:26:21;FALSE;582171565569286144;582171941177552896;358995889;<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>;AndrzejDuda;1;FALSE;FALSE;NA;NA;"Duda"
