"text";"favorited";"favoriteCount";"replyToSN";"created";"truncated";"replyToSID";"id";"replyToUID";"statusSource";"screenName";"retweetCount";"isRetweet";"retweeted";"longitude";"latitude";"lastname"
"Sukcesy Polski kontra wrogowie Europy | videoblog https://t.co/IO54upaTw6";FALSE;2;NA;2015-03-28 19:30:59;FALSE;NA;581901317012123650;NA;<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>;Komorowski;0;FALSE;FALSE;NA;NA;"Komorowski"
"#Wolsztyn http://t.co/9h15nPvLOb";FALSE;2;NA;2015-03-28 15:25:43;FALSE;NA;581839592812359681;NA;<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>;Komorowski;1;FALSE;FALSE;NA;NA;"Komorowski"
"Ci, którzy nie chca Polski w Unii moga sobie tylko krzyczec,  ale to nic nie pomoze. My wybralismy Unie i wiemy,  ze to byl dobry wybór";FALSE;13;NA;2015-03-28 15:02:27;FALSE;NA;581833738146959360;NA;<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>;Komorowski;13;FALSE;FALSE;NA;NA;"Komorowski"
"Polska bedzie sie nadal dobrze rozwijac tylko dzieki zgodzie i zapewnieniu bezpieczenstwa.";FALSE;6;NA;2015-03-28 14:58:32;FALSE;NA;581832751827038208;NA;<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>;Komorowski;6;FALSE;FALSE;NA;NA;"Komorowski"
"Czas na spotkanie w Wolsztynie. http://t.co/jm0PePjkCs";FALSE;2;NA;2015-03-28 14:55:34;FALSE;NA;581832005035433984;NA;<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>;Komorowski;1;FALSE;FALSE;NA;NA;"Komorowski"
"Mali artysci zrobili piekne pozegnanie w Zbaszyniu :-) http://t.co/ycrRfm30J9";FALSE;8;NA;2015-03-28 14:10:49;FALSE;NA;581820744730075136;NA;<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>;Komorowski;2;FALSE;FALSE;NA;NA;"Komorowski"
"Dziekuje za wszystkie mile spotkania w Zbaszyniu :-) http://t.co/g0In5gmnvp";FALSE;9;NA;2015-03-28 13:54:02;FALSE;NA;581816520407404545;NA;<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>;Komorowski;3;FALSE;FALSE;NA;NA;"Komorowski"
"Prosze o poparcie dla Polski bez kompleksów i dumnej w zjednoczonej Europie.";FALSE;14;NA;2015-03-28 13:14:29;FALSE;NA;581806565470142464;NA;<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>;Komorowski;5;FALSE;FALSE;NA;NA;"Komorowski"
"Przyszlosc Polski to nasza praca,  nasz optymizm i wiara w sukces oraz czlonkostwo w Unii Europejskiej.";FALSE;6;NA;2015-03-28 13:13:15;FALSE;NA;581806256521871362;NA;<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>;Komorowski;6;FALSE;FALSE;NA;NA;"Komorowski"
"Dziwnie jest pomyslec, ze ktos moze dzisiaj zniechecac nas do czlonkostwa w Unii. Wszyscy widzimy, ze to byl dobry krok, to nasza przyszlosc";FALSE;9;NA;2015-03-28 13:12:23;FALSE;NA;581806037134635008;NA;<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>;Komorowski;5;FALSE;FALSE;NA;NA;"Komorowski"
"Ciesze sie, ze dzisiaj moglem zaczac mój sezon wodniacki,  wlasnie tutaj - w Zbaszyniu :-)";FALSE;3;NA;2015-03-28 13:08:31;FALSE;NA;581805064974655488;NA;<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>;Komorowski;5;FALSE;FALSE;NA;NA;"Komorowski"
"Dziekuje za gorace powitanie w Zbaszyniu. http://t.co/MwzteFEcTY";FALSE;7;NA;2015-03-28 13:04:21;FALSE;NA;581804015958233088;NA;<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>;Komorowski;2;FALSE;FALSE;NA;NA;"Komorowski"
"W Zbaszyniu piekna pogoda, w sam raz na krótki rejs <U+26F5> :-) http://t.co/vTb3MDeGhY";FALSE;8;NA;2015-03-28 12:48:57;FALSE;NA;581800140194869248;NA;<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>;Komorowski;1;FALSE;FALSE;NA;NA;"Komorowski"
"Zwiekszamy nasze realne zdolnosci wojskowe. To modernizacja i szkolenie zawodowej armii, ale tez dobry system mobilizacjny.";FALSE;15;NA;2015-03-28 12:02:18;FALSE;NA;581788399830495234;NA;<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>;Komorowski;11;FALSE;FALSE;NA;NA;"Komorowski"
"Jestem zwolennikiem równowagi pomiedzy mysleniem ekologicznym i ekonomicznym. #srodowisko";FALSE;5;NA;2015-03-28 11:52:33;FALSE;NA;581785947626438656;NA;<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>;Komorowski;4;FALSE;FALSE;NA;NA;"Komorowski"
"Bez kompromisu nie ma rozsadnej i dobrej polityki.";FALSE;8;NA;2015-03-28 11:46:43;FALSE;NA;581784478642806784;NA;<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>;Komorowski;5;FALSE;FALSE;NA;NA;"Komorowski"
"W drugiej kadencji, jesli wygram wybory, bede budowac strategiczny program  Start dla mlodych .";FALSE;7;NA;2015-03-28 11:33:19;FALSE;NA;581781106074222592;NA;<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>;Komorowski;2;FALSE;FALSE;NA;NA;"Komorowski"
"Nalezy wdrozyc programy budowy komunalnych mieszkan z niskim czynszem, które beda przeznaczone dla mlodych rodzin. #ProgramdlaMlodych";FALSE;6;NA;2015-03-28 11:31:23;FALSE;NA;581780619899858944;NA;<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>;Komorowski;6;FALSE;FALSE;NA;NA;"Komorowski"
"Dyskusja o euro jest wywolana przez wrogów Europy, 11 lat temu straszyli nas konsekwencjami wejscia do Unii.";FALSE;36;NA;2015-03-28 11:21:25;FALSE;NA;581778113568358400;NA;<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>;Komorowski;27;FALSE;FALSE;NA;NA;"Komorowski"
"Od dobrego wykorzystania srodków unijnych bedzie zalezec jak bedziemy sobie radzic w przyszlosci. To ogromna szansa dla wsi.";FALSE;5;NA;2015-03-28 11:17:51;FALSE;NA;581777213256794112;NA;<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>;Komorowski;4;FALSE;FALSE;NA;NA;"Komorowski"
"Dzisiaj w Siedlcu rozmawiamy o rolnictwie i polskiej wsi. To kolejna debata z cyklu  Dialog o Polsce   http://t.co/A0iuT5p4TG";FALSE;3;NA;2015-03-28 11:15:12;FALSE;NA;581776549327867904;NA;<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>;Komorowski;3;FALSE;FALSE;NA;NA;"Komorowski"
"Dziekuje za serdeczne powitanie w Siedlcu http://t.co/swCOmdzFZz";FALSE;3;NA;2015-03-28 11:12:53;FALSE;NA;581775963459088384;NA;<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>;Komorowski;1;FALSE;FALSE;NA;NA;"Komorowski"
"Krótki postój w Chobienicach :-) http://t.co/95AsOZslcf";FALSE;3;NA;2015-03-28 10:59:58;FALSE;NA;581772715150966784;NA;<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>;Komorowski;2;FALSE;FALSE;NA;NA;"Komorowski"
