"","month","day","begin_time","visitor_id","session_id","is_active","index","end_time"
"450","Jan","2","11:26:36","1615438","8234565",TRUE,450,"11:28:24"
"461","Jan","2","11:28:40","1615402","8234608",TRUE,461,"11:31:01"
"477","Jan","2","11:42:22","1615476","8234942",FALSE,477,"11:42:22"
"478","Jan","2","11:47:46","1615462","8235068",TRUE,478,"11:48:10"
"485","Jan","2","12:09:15","1615323","8235568",TRUE,485,"12:09:56"
"492","Jan","2","12:10:32","1615460","8235608",TRUE,492,"12:12:10"
"505","Jan","2","12:22:15","1615282","8235890",TRUE,505,"12:23:00"
"512","Jan","2","12:25:35","1615503","8235962",TRUE,512,"12:26:35"
"519","Jan","2","12:26:37","1615503","8235982",TRUE,519,"12:27:29"
"529","Jan","2","12:31:49","1615645","8236114",TRUE,529,"12:32:36"
"537","Jan","2","12:49:12","1615717","8236545",TRUE,537,"12:50:28"
"548","Jan","2","12:54:40","1615809","8236662",TRUE,548,"12:55:56"
"555","Jan","2","13:11:07","1615825","8237008",TRUE,555,"13:11:09"
"659","Jan","2","13:21:25","1615545","8237298",TRUE,659,"13:22:44"
"672","Jan","2","13:25:50","1615835","8237429",TRUE,672,"13:26:17"
"680","Jan","2","13:30:37","1615826","8237565",TRUE,680,"13:33:01"
"696","Jan","2","13:38:28","1615452","8237759",TRUE,696,"13:39:16"
"709","Jan","2","13:40:14","1615720","8237798",TRUE,709,"13:40:49"
"716","Jan","2","13:43:38","1615748","8237869",TRUE,716,"13:46:33"
"738","Jan","2","13:52:48","1615947","8238096",TRUE,738,"13:52:49"
"842","Jan","2","13:53:21","1615947","8238111",FALSE,842,"13:53:21"
"843","Jan","2","13:57:20","1615673","8238207",TRUE,843,"13:59:12"
"880","Jan","2","14:13:56","1615758","8238667",TRUE,880,"14:14:55"
"893","Jan","2","14:20:49","1616001","8238858",TRUE,893,"14:26:44"
"911","Jan","2","14:31:59","1615636","8239167",TRUE,911,"14:32:57"
"918","Jan","2","14:32:59","1615636","8239196",TRUE,918,"14:33:24"
"925","Jan","2","14:33:27","1615636","8239219",TRUE,925,"14:34:48"
"938","Jan","2","14:46:54","1615871","8239595",TRUE,938,"14:48:28"
"948","Jan","2","15:09:14","1615656","8240224",TRUE,948,"15:10:28"
"955","Jan","2","15:13:21","1616007","8240332",TRUE,955,"15:13:23"
"1059","Jan","2","15:13:49","1616007","8240344",TRUE,1059,"15:14:49"
"1072","Jan","2","15:18:07","1615482","8240449",TRUE,1072,"15:18:56"
"1082","Jan","2","15:22:30","1615853","8240568",FALSE,1082,"15:22:30"
"1083","Jan","2","15:22:56","1615853","8240586",TRUE,1083,"15:27:19"
"1111","Jan","2","15:32:28","1616256","8240863",TRUE,1111,"15:34:25"
"1137","Jan","2","15:44:34","1616364","8241167",TRUE,1137,"15:45:32"
"1144","Jan","2","15:47:22","1616279","8241241",TRUE,1144,"15:47:31"
"1248","Jan","2","15:48:01","1616279","8241257",FALSE,1248,"15:48:01"
"1249","Jan","2","15:56:43","1615329","8241480",TRUE,1249,"15:57:46"
"1256","Jan","2","16:09:42","1616311","8241807",TRUE,1256,"16:16:14"
"1270","Jan","2","16:20:51","1616319","8242070",TRUE,1270,"16:22:01"
"1280","Jan","2","16:26:17","1616324","8242206",TRUE,1280,"16:27:16"
"1290","Jan","2","16:27:20","1616324","8242239",TRUE,1290,"16:27:45"
"1297","Jan","2","16:59:36","1616301","8242807",TRUE,1297,"17:01:03"
"1304","Jan","2","17:22:57","1616552","8243157",TRUE,1304,"17:23:20"
"1311","Jan","2","17:44:57","1616510","8243383",TRUE,1311,"17:45:23"
"1318","Jan","2","17:46:09","1616513","8243396",TRUE,1318,"17:49:02"
