"","month","day","begin_time","visitor_id","session_id","is_active","index","end_time"
"106","Jan","2","11:11:58","1615415","8234218",TRUE,106,"11:12:04"
"117","Jan","2","11:21:23","1615438","8234451",TRUE,117,"11:21:36"
"124","Jan","2","11:30:46","1615378","8234651",TRUE,124,"11:31:24"
"138","Jan","2","11:33:37","1615402","8234725",TRUE,138,"11:33:52"
"151","Jan","2","11:40:30","1615488","8234899",TRUE,151,"11:41:30"
"164","Jan","2","11:42:22","1615334","8234944",TRUE,164,"11:42:40"
"177","Jan","2","11:57:53","1615364","8235320",TRUE,177,"11:58:10"
"193","Jan","2","12:08:06","1615323","8235527",TRUE,193,"12:08:44"
"203","Jan","2","12:21:10","1615282","8235862",TRUE,203,"12:21:31"
"213","Jan","2","12:29:35","1615617","8236048",TRUE,213,"12:29:47"
"226","Jan","2","12:31:43","1615614","8236110",TRUE,226,"12:32:12"
"239","Jan","2","12:44:34","1615734","8236430",TRUE,239,"12:44:48"
"246","Jan","2","12:53:35","1615647","8236640",TRUE,246,"12:53:55"
"256","Jan","2","13:00:13","1615646","8236804",TRUE,256,"13:00:33"
"266","Jan","2","13:19:23","1615768","8237237",TRUE,266,"13:20:07"
"276","Jan","2","13:22:04","1615832","8237315",TRUE,276,"13:22:47"
"286","Jan","2","13:24:29","1615536","8237394",TRUE,286,"13:24:47"
"296","Jan","2","13:25:46","1615481","8237428",TRUE,296,"13:26:02"
"303","Jan","2","13:42:49","1615748","8237852",TRUE,303,"13:43:13"
"317","Jan","2","13:44:58","1615955","8237900",TRUE,317,"13:45:19"
"330","Jan","2","13:45:53","1615863","8237930",TRUE,330,"13:46:22"
"344","Jan","2","13:48:44","1615888","8237988",TRUE,344,"13:48:57"
"354","Jan","2","13:53:46","1615672","8238120",TRUE,354,"13:54:18"
"367","Jan","2","13:54:32","1615672","8238136",TRUE,367,"13:58:42"
"380","Jan","2","13:58:44","1615672","8238244",TRUE,380,"13:59:29"
"396","Jan","2","14:06:27","1615697","8238457",TRUE,396,"14:06:34"
"403","Jan","2","14:12:53","1615758","8238640",TRUE,403,"14:13:30"
"416","Jan","2","14:29:07","1615831","8239089",TRUE,416,"14:30:04"
"426","Jan","2","14:33:13","1615836","8239209",TRUE,426,"14:33:37"
"439","Jan","2","14:39:14","1615983","8239391",TRUE,439,"14:39:45"
"452","Jan","2","14:44:34","1616095","8239525",TRUE,452,"14:44:43"
"465","Jan","2","14:51:16","1615902","8239716",TRUE,465,"14:51:34"
"478","Jan","2","14:56:49","1615966","8239858",TRUE,478,"14:57:06"
"485","Jan","2","15:10:51","1615651","8240265",TRUE,485,"15:11:31"
"495","Jan","2","15:14:08","1615651","8240354",TRUE,495,"15:14:26"
"508","Jan","2","15:14:28","1615651","8240359",TRUE,508,"15:14:51"
"524","Jan","2","15:14:53","1615651","8240374",TRUE,524,"15:15:29"
"537","Jan","2","15:20:51","1616214","8240512",TRUE,537,"15:21:43"
"547","Jan","2","15:23:24","1616214","8240597",TRUE,547,"15:23:47"
"560","Jan","2","15:25:24","1616214","8240653",TRUE,560,"15:25:45"
"573","Jan","2","15:28:27","1616287","8240740",TRUE,573,"15:28:56"
"584","Jan","2","15:30:16","1616256","8240787",TRUE,584,"15:30:30"
"594","Jan","2","15:30:43","1615854","8240803",TRUE,594,"15:31:07"
"605","Jan","2","15:46:38","1616295","8241224",TRUE,605,"15:46:49"
"612","Jan","2","15:48:45","1616014","8241270",FALSE,612,"15:48:45"
"613","Jan","2","15:50:25","1616372","8241315",TRUE,613,"15:50:44"
"620","Jan","2","15:53:27","1616226","8241400",TRUE,620,"15:53:54"
"633","Jan","2","15:57:59","1615329","8241516",TRUE,633,"15:58:20"
"646","Jan","2","16:24:07","1616405","8242148",FALSE,646,"16:24:07"
